company_name,fiscal_year,revenue,cost_of_goods_sold,operating_expenses,wages_expense,tax_expense,depreciation,net_income,total_assets,current_assets,fixed_assets,total_liabilities,current_liabilities,long_term_liabilities,shareholders_equity,n_employees,n_blue_collar_workers,n_white_collar_workers
ASEA,1901,524549.38,,454154.29,,,,70395.09,11134341.73,,1846472.76,5541686.64,5438840.0,,5592656.29,968.0,,
ASEA,1902,3205000.0,,,,,,-315125.17,8395672.046666667,,,4225120.3966666665,,,5170551.65,863.0,,
ASEA,1903,,,,,,,-178739.73,9855351.48,,2979582.1233333335,,1526162.35,,5226342.26,1186.0,,
ASEA,1904,,,,,,,20328.34,10347362.26,,2309636.94,,5237233.92,,5089800.0,1416.0,,
ASEA,1905,,,,,,,-20402.56,10537079.62,,2408157.27,5439451.88,,2632000.0,5058723.1,1487.0,,
ASEA,1906,,,,,,,30912.22,14078715.36,,,8964493.25,,,5042426.433333334,1804.0,1645.5,
ASEA,1907,,,,,,,266619.27,13064950.2,,,7678631.99,,,,,2309.0,
ASEA,1908,12052000.0,,,,,462874.5,513433.8,12356950.28,2591581.49,5133982.65,6603226.31,4062450.68,2469000.0,590198.09,,,
ASEA,1909,,,,,,,294116.53,12219589.17,,,6533150.32,,,5223248.28,2354.0,,
ASEA,1910,,,,,,,501013.78,13998740.03,,,8153745.69,,,5257088.88,2462.0,,
ASEA,1911,12807000.0,,,,,,551883.7233333333,14445250.15,,,7475636.32,,,6398958.86,2527.0,,
ASEA,1912,,,,,,,686524.49,17996448.29,,,10782236.56,,,6507507.99,2780.0,,
ASEA,1913,,,,,,,862961.76,24293243.02,,,13151636.5,,,12536994.92,,,
ASEA,1914,,,,,,,2197373.39,27733971.35,,,,,,12073669.74,3218.0,,
ASEA,1915,,,,,,,4620343.87,35933835.72,,,17429791.34,,,17787875.686666667,3881.0,,
ASEA,1916,39480000.0,,,,,583296.69,12474526.06,60553975.38,25519475.58,,26147894.43,,,34406081.0,4034.0,,
ASEA,1917,,,,,,588620.42,16528740.14,115233993.04,46131800.53,72746137.45,45123231.24,25449469.24,11396600.0,33390607.576666664,4083.0,,
ASEA,1918,,,,,,1286521.79,7718211.31,168080905.37,42831188.3,34157108.02,73714548.84,51024495.05,,84050000.0,5158.0,1604.0,
ASEA,1919,10599710.81,,,,,1338614.11,8019829.79,162923802.16,44785185.99,47705590.585,32038180.45,,,53318986.32,7220.0,,
ASEA,1920,7572745.62,,,,1000000.0,1478958.52,4018258.79,104410688.36,,,21015899.73,,,101464929.54333334,6963.0,,
ASEA,1921,,,,,,1585500.0,-11826507.14,112304562.32333332,,32949800.0,21953476.04,,12200324.62,97010737.97,4853.0,,
ASEA,1922,,,,,,,-12482829.83,105477107.97,,31567500.0,84527908.14,11564702.68,,97010737.97,4786.0,,
ASEA,1923,,,,,,,558052.44,103140625.99,,,10618165.84,,,85000000.0,5201.0,,
ASEA,1924,,,,,,,2031688.58,105106780.48,,,,,,57372549.72,5378.0,,
ASEA,1925,3835700.35,,,,600000.0,1186490.0,3011613.89,106473168.17,37770321.85,29172080.0,2504187.5149999997,4310409.19,4142398.73,86084754.35,6403.0,,
ASEA,1926,,,,,700000.0,,3938916.8,104174319.76,38673823.09,28158990.0,58064393.28333333,8680691.82,3791473.9,31128786.566666666,6342.0,,
ASEA,1927,5248519.43,,,,850000.0,1335690.0,4548870.35,70339442.21666667,,27320500.0,3428464.83,3428464.83,,85000000.0,6959.0,,
ASEA,1928,5214139.07,,,,900000.0,,4653688.28,104382079.17,,27391900.0,,3052367.85,,85000000.0,7210.0,,
ASEA,1929,5565690.5,,,,,1202400.0,4948890.02,122342486.56,50696566.98,27279500.0,37348781.39333334,20112179.09,17236448.97,85000000.0,7668.0,,
ASEA,1930,,,,,1000000.0,,5374787.34,121489457.94,27764985.14,29567200.0,25289480.653333332,,,85000000.0,7777.0,,
ASEA,1931,5997518.846666667,,,,,1212500.0,5224359.15,126226524.02,,30898000.0,24146071.77,,,85000000.0,,,
ASEA,1932,5686849.65,,,,320000.0,1202300.0,5194396.21,79730258.01333334,45835918.33,31201000.0,40288955.465,,,62212723.733333334,7780.0,,1798.0
