company_name,fiscal_year,revenue,cost_of_goods_sold,operating_expenses,wages_expense,tax_expense,depreciation,net_income,total_assets,current_assets,fixed_assets,total_liabilities,current_liabilities,long_term_liabilities,shareholders_equity,n_employees,n_blue_collar_workers,n_white_collar_workers,first_business_edu_year,first_usa_exp_year,first_technical_edu_year,first_non_swedish_exp_year,years_since_business_edu,business_edu_year_neg5,business_edu_year_neg4,business_edu_year_neg3,business_edu_year_neg2,business_edu_year_neg1,business_edu_year_0,business_edu_year_1,business_edu_year_2,business_edu_year_3,business_edu_year_4,business_edu_year_5,business_edu_year_6,business_edu_year_7,business_edu_year_8,business_edu_year_9,business_edu_year_10,years_since_usa_exp,usa_exp_year_neg5,usa_exp_year_neg4,usa_exp_year_neg3,usa_exp_year_neg2,usa_exp_year_neg1,usa_exp_year_0,usa_exp_year_1,usa_exp_year_2,usa_exp_year_3,usa_exp_year_4,usa_exp_year_5,usa_exp_year_6,usa_exp_year_7,usa_exp_year_8,usa_exp_year_9,usa_exp_year_10,years_since_technical_edu,technical_edu_year_neg5,technical_edu_year_neg4,technical_edu_year_neg3,technical_edu_year_neg2,technical_edu_year_neg1,technical_edu_year_0,technical_edu_year_1,technical_edu_year_2,technical_edu_year_3,technical_edu_year_4,technical_edu_year_5,technical_edu_year_6,technical_edu_year_7,technical_edu_year_8,technical_edu_year_9,technical_edu_year_10,years_since_non_swedish_exp,non_swedish_exp_year_neg5,non_swedish_exp_year_neg4,non_swedish_exp_year_neg3,non_swedish_exp_year_neg2,non_swedish_exp_year_neg1,non_swedish_exp_year_0,non_swedish_exp_year_1,non_swedish_exp_year_2,non_swedish_exp_year_3,non_swedish_exp_year_4,non_swedish_exp_year_5,non_swedish_exp_year_6,non_swedish_exp_year_7,non_swedish_exp_year_8,non_swedish_exp_year_9,non_swedish_exp_year_10
AGA,1911,1988800.0,,,,,,479860.38,3189392.34,1264642.53,790638.19,532757.8466666667,449136.77,195000.0,2521565.9233333333,,,,1961.0,,1911.0,1951.0,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1912,713738.59,,,,,,319591.14,5133963.48,1248349.57,1787097.775,5133963.48,404114.505,,2775250.0,,,,1961.0,,1911.0,1951.0,-49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1913,2180000.0,,,,,,547207.82,5103792.81,,,6406230.51,,,,,,,1961.0,,1911.0,1951.0,-48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1914,1378218.48,,,,,,692241.56,8023483.850000001,,,4541330.0,,,2837176.6666666665,,,,1961.0,,1911.0,1951.0,-47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1915,1771117.76,,,,,,1294784.78,10725706.023333332,,,,,,5000000.0,,,,1961.0,,1911.0,1951.0,-46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1916,2776885.75,,,,,,1662994.83,20906805.963333335,,,13794877.56,,,9000000.0,,,,1961.0,,1911.0,1951.0,-45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1917,4668051.33,,,,,,3091674.25,37117105.93,,,35907522.846666664,,,5658639.550000001,,,,1961.0,,1911.0,1951.0,-44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1918,,,,,,,2451411.73,45518173.35,,,,,,22136230.076666664,,,,1961.0,,1911.0,1951.0,-43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1919,,,,,,,1163253.95,47976960.04,,,24000000.0,,,9222277.086666666,,,,1961.0,,1911.0,1951.0,-42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1920,2639889.21,,,,,,425002.55,51348675.61,,,31348675.61,,,28258010.0,,,,1961.0,,1911.0,1951.0,-41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1921,5630000.0,,,,,,197587.55,50160467.57,,,42941278.38,,,28502900.0,,,,1961.0,,1911.0,1951.0,-40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1922,,,,,,,-54276.473333333335,42452132.49,,,,,,28533500.0,,,,1961.0,,1911.0,1951.0,-39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1923,1662709.64,,,,28743.16,,-132137.83,37271876.2,,,27694006.13666667,,,28538300.0,,,,1961.0,,1911.0,1951.0,-38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1924,,,,,,,707972.87,37807923.51,,,,,,28954974.14,,,,1961.0,,1911.0,1951.0,-37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1925,5910000.0,,,,,,904866.5,39013123.65,,,,,,28600000.0,,,,1961.0,,1911.0,1951.0,-36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1926,,,,,,,1058989.42,38886388.33,,,38886388.33,,,1226751.21,,,,1961.0,,1911.0,1951.0,-35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1927,7020000.0,,,,111126.62,346096.43,1269277.83,39606962.94,,5651829.75,39606512.94,911828.99,,16477526.525,,,,1961.0,,1911.0,1951.0,-34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1928,9020000.0,,,,,,1472715.48,42362466.02,,,,,,28600000.0,,,,1961.0,,1911.0,1951.0,-33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1929,9790000.0,,,,,,1643576.25,45728119.5,,,,,,28600000.0,,,,1961.0,,1911.0,1951.0,-32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1930,3568284.93,,,,,,1722391.41,44262814.44,,4675213.71,9530635.593333334,,,30641837.393333334,,,,1961.0,,1911.0,1951.0,-31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1931,3121396.59,,,,243216.83,,1194302.16,42352710.94,,8016850.02,39803480.98,,,2382491.4266666668,,,,1961.0,,1911.0,1951.0,-30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGA,1932,1381791.315,,,,,,587233.39,42512801.7,,,42512801.7,,,,,,,1961.0,,1911.0,1951.0,-29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
