Name,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1987,First Year,Last Year,Tenure,Consecutive,Positions
"Alfort, Axel",Verkst. direktör,Verkst. direktör,Verkst. direktör,Verkst. direktör,Verkställande direktör,direktör,direktör,direktör,direktör,direktör,,,,,,,direktör,,,,,,1965,1981,17,True,direktör | Verkställande direktör | Verkst. direktör
"Alfort, Sven",,,,,ingenjör,ingeniör,ingeniör,ingenjör,ingeniör,ingenjör,,,,,,,,,,,,,1965,1977,13,True,ingeniör | ingenjör
"Krokstedt, Lars",,,,,,,,,verkställande direktör,verkställande direktör,Verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,direktör,,,,,,1973,1985,13,True,verkställande direktör | Verkställande direktör | direktör
"Rynell, Olov",,,,,direktör,direktör,direktör,direktör,direktör,direktör,,,,,,,,,,,,,1967,1977,11,True,direktör
"Malmvik, Carl-Gustaf",,,,,,,,,,,,,,,,,direktör,,,,,,1975,1983,9,True,direktör
"Plomgren, Carl",,,,,Ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,1965,1973,9,True,Ordförande | ordförande
"Alfort, Michael",,,,,,,,,,,,,,,,,,verkställande direktör,Verkställande direktör,VD,Verkst. direktör,Styrelseledamot,1978,1987,8,False,verkställande direktör | Verkställande direktör | Styrelseledamot | Verkst. direktör | VD
"Klercker, Bertil af",,,,,,,,,jur dr,ordförande,Ordförande,ordförande,Ordförande,Ordförande,ordförande,ordförande,,,,,,,1973,1980,8,True,Ordförande | ordförande | jur dr
"Ögren, Arne",,,,,,,,,,,,,,,,,bankdirektör,vice ordförande,,,,,1978,1985,8,True,bankdirektör | vice ordförande
"Aman, Karl",,,,,,,,direktör,bankdirektör,bankdirektör,,,,,,,verkställande direktör,,,,,,1972,1981,6,False,bankdirektör | verkställande direktör | direktör
"Gerentz, Sven",,,,,,,,,,,,,,,,,ordförande,ordförande,Styrelseordförande,Ordförande,Ordförande,Styrelseordförande,1981,1987,6,False,Styrelseordförande | ordförande | Ordförande
"Sundvisson, Sven Å",,,,,,,direktör,,,,,,,,,,,,,,,,1971,1982,6,False,direktör
"Björkman, Lars",,,,,,,,,,,,,,Suppleanter,Suppleanter,,,,,,,,1976,1982,5,False,Suppleanter
"Kjellberg, Toivo",,,,,,,,,,,,,,,,representant för de anställda,representant för de anställda,representant för de anställda,,,,,1980,1984,5,True,representant för de anställda
"Tidbeck, Arne",,,,,,,,,,,,,,,,,,,,,,,1976,1982,5,False,
"Werelius, Lars Åke",,,,,,,,,,,,,,,,,,representant för de anställda,,,,Representant för de anställda,1982,1987,5,False,representant för de anställda | Representant för de anställda
"Åman, Karl",,,,,,"direktör, verkställande direktör","direktör, verkställande direktör",,,,,,,,,,,,,,,,1970,1979,5,False,"direktör, verkställande direktör"
"Alfort, Jörgen",,,,,,,,,,,,,,,,,,Suppleanter,,,,Styrelseledamot,1982,1987,4,False,Styrelseledamot | Suppleanter
"Conradson, Lars",,,,,,,,,,,,,,,,,,,,,,,1976,1980,4,False,
"Minten, Göran",,,,,,,,,herr,representant för de anställda,representant för de anställda,,,representant för de anställda,,,,,,,,,1973,1978,4,False,representant för de anställda | herr
"Piehl, Gustaf",,,,,,,,,,,,,,,,,,,,,,,1982,1985,4,True,
Alfort,,,,,,,,,,,,,,,,,försäljningschef,,,,,Styrelseledamot,1981,1987,3,False,Styrelseledamot | försäljningschef
"Ericsson, Haldo",,,,,,,,,,,,,,,representant för de anställda,representant för de anställda,representant för de anställda,,,,,,1979,1981,3,True,representant för de anställda
"Jansson, Karl Gustav",,,,,,,,,,,,,,representant för de anställda,representant för de anställda,representant för de anställda,,,,,,,1978,1980,3,True,representant för de anställda
"Rapp, Johan",,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,1984,1987,3,False,Styrelseledamot
"Rönnström, Peter",,,,,,,,,,,,,,representant för de anställda,representant för de anställda,representant för de anställda,,,,,,,1978,1980,3,True,representant för de anställda
"Andersson, Lars",,,,,,,,,,,,representant för de anställda,representant för de anställda,,,,,,,,,,1976,1977,2,True,representant för de anställda
"Beckman, Jochum",,,,,,,direktör,,,,,Suppleanter,,,,,,,,,,,1971,1976,2,False,Suppleanter | direktör
"Franzén, Stefan",,,,,,,,,,,,representant för de anställda,,representant för de anställda,,,,,,,,,1976,1978,2,False,representant för de anställda
"Nelzén, Gunnar",,,,,,,,,,,,representant för de anställda,representant för de anställda,,,,,,,,,,1976,1977,2,True,representant för de anställda
"Wester, Lennart",,,,,,,,,herr,representant för de anställda,,,,,,,,,,,,,1973,1974,2,True,representant för de anställda | herr
"
Åman",,,,,,,,,,,,,,,,,,,,,,,1980,1980,1,True,
"Cedving, Eric",,,,,,,,,,,,representant för de anställda,,,,,,,,,,,1976,1976,1,True,representant för de anställda
"Granlund, Gösta",,,,,,,,,,,,,,,,,,,,,,,1985,1985,1,True,
"Reed, James",,,,,,,,,,,,,,,representant för de anställda,,,,,,,,1979,1979,1,True,representant för de anställda
"Rundby, Torsten",,,,,,,,,,,,,,,,,,,,,,Suppleant,1987,1987,1,True,Suppleant
"Wiklund, Erik",,,,,,,,,,,,,,,,,,representant för de anställda,,,,,1982,1982,1,True,representant för de anställda
"Öberg, Ove",,,,,,,,,,,,,,,,,,representant för de anställda,,,,,1982,1982,1,True,representant för de anställda
