Name,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,First Year,Last Year,Tenure,Consecutive,Positions
"Gustafsson, Sten",,,,vice verkst. direktör,,,,suppl.,suppl.,suppl.,suppl.,,Suppleanter,,,Suppleanter,,,,,Styrelsens ordförande,ordförande,Styrelsens ordforande,ordf,Styrelsens ordförande,ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelseordförande,Styrelsens ordförande,,,,,,,1958,1992,29,False,Suppleanter | vice verkst. direktör | suppl. | Styrelseordförande | Styrelsens ordförande | Styrelsens ordforande | ordförande | ordf
"Hagström, Tony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ledamot,,,,ORDINARIE LEDAMÖTER,,,,1977,1997,21,True,Ledamot | ORDINARIE LEDAMÖTER
"Julin, Bengt",,,,suppl.,suppl.,suppl.,suppl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1982,21,False,suppl.
"Wallenberg, Jacob",,,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,Styrelsens ordförande,ordf,ordf,ordf,ordf,ordf,ordf,ordf,Styrelsens ordförande,,,,,,,,,,,,,,,,,,,,,,,,,1955,1974,20,True,ordförande | ordf | Styrelsens ordförande
"Nachmanson, Herman",,,,,,,,,,,vice ordförande,,v ordf,v ordf,v ordf,vordf,,v ordf,v ordf,,,v ordf,,,,,,,,,,,,,,,,,,,,,,,1957,1976,18,False,vordf | v ordf | vice ordförande
"Werkö, Lars",,,,,,,,,,,,,,,,,,,,,,vice VD,Vice Verkställande direktör,vice VD,Verkställande direktör,,vice VD,,,,,,,,,,,,,,,,,,1965,1984,16,False,vice VD | Vice Verkställande direktör | Verkställande direktör
"RINGKVIST, CHARLES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ledamot,,,,ORDINARIE LEDAMÖTER,,,,1983,1997,15,True,Ledamot | ORDINARIE LEDAMÖTER
"DAHLBÄCK, CLAES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ledamot,,,VD,ORDINARIE LEDAMÖTER,,,Ledamot,1986,1998,13,True,Ledamot | VD | ORDINARIE LEDAMÖTER
"Wegerfelt, Karl",,,,verkst. direktör,,,,,,,"verkst, direktör",Verkst direktör,verkst direktör,,,,VD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,1971,13,False,"verkst. direktör | Verkst direktör | verkst, direktör | verkst direktör | VD"
"Kistner, Folke",,,,suppl.,suppl.,suppl.,suppl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1970,12,False,suppl.
