Name,1916,1917,1918,1919,1920,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,First Year,Last Year,Tenure,Consecutive,Positions
"Carlsson, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1965,45,False,
"HENRIQUES, E.",,,,,,,,,,,,,,,,,,,,,,,,Verkst. Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,v. Ordförande,v. ordförande,v. ordförande,v. ordförande,v. ordförande,,,,,,,,,,,,,,,,,,,,,,,,1922,1971,36,False,Verkst. Direktör | v. Ordförande | v. ordförande
"Philipson, Nils",verkst. direktör,Verkst. Direktör,Verkst. Direktör.,Verkst. Direktör,Verkst. Direktör.,Verkst. Direktör,,,Verkst. Direktör.,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,,,,,,Verkst. Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1942,26,False,Verkst. Direktör. | verkst. direktör | Verkst. Direktör
"BROSTRÖM, DAN-AXEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1976,25,False,
"BÖKMAN, K. R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931,1966,24,False,
"KIHLBOM, NIKLAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,,,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,,verkställande direktör,"om, verkställande direktör",verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,arbetande ordförande,arbetande ordförande,arbetande ordförande,arbetande ordförande,ordförande,arbetande vice ordförande,,,,,,,,,,,1959,1984,23,False,"ordförande | om, verkställande direktör | arbetande ordförande | verkställande direktör | arbetande vice ordförande | Verkst. Direktör"
"JONSSON, AXEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,1948,21,False,
"WIJK, ERIK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1969,20,False,
"SANDSTRÖM, GUSTAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,1946,19,False,
THORBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1969,19,False,Ordförande | ordförande
"JACOBSSON, HERBERT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932,1947,16,True,
"Montgomery, John-Gabriel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vald av bolagets försäkringstagare,vald av bolagets försäkringstagare,"vald av bolagets
försäkringstagare",vald av bolagets försäkringstagare,vald av bolagets försäkringstagare,"vald av bolagets
f
Sal Ramfors
f
Sal Ramfors",,VD i EKA AB,,VD i Eka Nobel AB,,,,,,,,,1975,1993,16,False,"VD i EKA AB | VD i Eka Nobel AB | vald av bolagets försäkringstagare | vald av bolagets
f
Sal Ramfors
f
Sal Ramfors | vald av bolagets
försäkringstagare"
"SUNDQVIST, KARL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Förordnad av Kungl. Maj:t,,,förordnad av Kungl. Maj:t,förordnad av Kungl. Majit,förordnad av Kungl. Majit,förordnad av Kungl. Majit,,,,,,,,,,,,,,,,,,,,,,,,1955,1971,16,False,Förordnad av Kungl. Maj:t | förordnad av Kungl. Maj:t | förordnad av Kungl. Majit
"Stenbeck, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ledamot i diverse styrelser,,,Ledamot i diverse styrelser,,Ledamot i diverse styrelser,,,ledamot,,,,,,1979,1994,16,True,ledamot | Ledamot i diverse styrelser
"Sydow, Kristian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,von,,v. Ordf. Broströms Rederi AB,,,Vice ordförande i Broströms Rederi AB,,,vice ordförande,,,,,,,,1975,1991,16,False,von | Vice ordförande i Broströms Rederi AB | v. Ordf. Broströms Rederi AB | vice ordförande
"SANDEN, DAVID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vald av bolagets försäkringstagare,,,vald av bolagets försäkringstagare,vald av bolagets försäkringstagare,vald av bolagets försäkringstagare,,,,,,,,,,,,,,,,,,,,,,,,,1955,1970,15,False,vald av bolagets försäkringstagare | Vald av bolagets försäkringstagare
"Sundblad, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,suppleant,suppleant,suppleant,vald av bolagets försäkringstagare,,,,,,,,,VD Almedahl-Dalsjöfors AB,,,,,,,,,,,,,,1968,1983,15,False,VD Almedahl-Dalsjöfors AB | vald av bolagets försäkringstagare | suppleant
"Lyden, Birger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordf. Munkedals AB,,,,,,,,,,,,,,1967,1981,14,False,Ordf. Munkedals AB
"CARLSSON, Rolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,1978,13,True,
"Metcalfe, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1929,13,False,
"LJUNGLÖF, ROB.",,,,,,,,,,,,,,,,,,,,,Verkst. Direktör,,,Aukt. revisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1948,12,True,Aukt. revisor | Verkst. Direktör
"Olburs, Vidar R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1930,12,False,
BÖKMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941,1962,11,False,
"Danielsson, Nils-Yngve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice verkställande direktör,vice verkställande direktör,vice verkställande direktör,vice verkställande direktör,vice verkställande direktör,vice verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,,,,,,,,,,,,1973,1983,11,True,vice verkställande direktör | verkställande direktör
HENRIQUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1962,11,False,
