Name,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,First Year,Last Year,Tenure,Consecutive,Positions
"OLSON, GÖSTA",,,,,,,,,,,,,,,Bankdirektör,ordförande,ordförande,ordförande,ordförande,ordförande,,,ordförande,"Bankdirektör, ordförande",ordförande,ordförande,ordförande,,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,,,1957,1982,24,False,"ordförande | Bankdirektör, ordförande | Bankdirektör"
"LARSSON, CARL",,,,,,,Verkst. dir.,Verkst. dir.,Verkst. dir.,Verkst. dir.,Verkst. dir.,Verkst. direktör,,Verkställande direktör,Verkst. direktör,Verkst. direktör,Verkst. Direktör,Verkst. direktör,Verkst. direktör,Direktör,,Direktör,,,,,,,,,,,,,,,,,,,1949,1966,16,False,Verkst. dir. | Verkställande direktör | Direktör | Verkst. Direktör | Verkst. direktör
"STÅLBRAND, ARVID",,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,1945,1960,16,True,vice ordförande
"HARJU, BIRGER",,,,,,,,,,,,,,,Direktör,Direktör,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,,Direktör,Direktör,,Direktör,,,,,,,,,,,,,,1954,1971,15,False,Direktör | vice ordförande
"LINDQVIST, LARS-OLOF",,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,,Direktör,Direktör,,,Direktör,Direktör,,direktör,,,,,,,1968,1982,15,True,Direktör | direktör
"HÅKANSON, GEORG",,,,,,,,,,,,,,,,Direktör,Direktör,Direktör,Direktör,Direktör,,Direktör,,Direktör,Direktör,,Direktör,Direktör,,,,,,,,,,,,,1960,1972,12,False,Direktör
"WEHTJE, WALTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1956,12,True,
"Lindén, Ulf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör,"Direktör, verkställande direktör",verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,,,,1974,1984,11,True,"verkställande direktör | Direktör, verkställande direktör"
"ERICSON, LARS",,,,,,,,,,,,,,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,Direktör,,,,,,,,,,,,,,,,,,,1957,1966,10,True,Direktör
"Wall, Anders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,,1973,1982,10,True,Direktör | vice ordförande
