Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,First Year,Last Year,Tenure,Consecutive,Positions
"Wall, Anders",verkställande direktör,verkställande direktör,Direktör verkställande direktör och koncernchef,Direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Direktör,Styrelsens ordförande,1972,1981,10,True,verkställande direktör | Verkställande direktör | Styrelsens ordförande | Direktör | Direktör verkställande direktör och koncernchef
"Ovin, Hans-Eric",,,Direktör vice verkställande direktör i Kockums Mekaniska Verkstad,Direktör,,,,,Direktör,,1973,1981,9,True,Direktör vice verkställande direktör i Kockums Mekaniska Verkstad | Direktör
"Ramel, Stig",,,Direktör verkställande direktör i Nobelstiftelsen,Direktör,,,,,Direktör,,1972,1980,9,True,Direktör | Direktör verkställande direktör i Nobelstiftelsen
"Browaldh, Tore",,,,vice ordförande,,,,,Vice ordförande,,1975,1981,7,True,Vice ordförande | vice ordförande
"Holgerson, Nils",,,,styrelseordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,Styrelsens ordförande,,1975,1981,7,True,styrelseordförande | Styrelsens ordförande
"Walter, James",,,Mr. styrelseordförande i Jim Walter Corporation,Direktör,,,,,Mr,,1974,1980,7,True,Direktör | Mr | Mr. styrelseordförande i Jim Walter Corporation
"Wirström, Lars",,,,Herr,,,,,Herr,,1975,1980,6,True,Herr
"Ågrup, Sven",,,,Direktör,,,,,Direktör,,1975,1980,6,True,Direktör
"Berggren, G",,,,Generaldirektör,,,,,Generaldirektör,,1975,1980,5,False,Generaldirektör
"Jörgensen, Rolf",,,Advokat,Advokat,,,,,Advokat,,1972,1980,5,False,Advokat
"Säve, Carl",,,,Civilingenjör,,,,,Civilingenjör,,1975,1980,5,False,Civilingenjör
"Beijer, Kjell",styrelsens ordförande,styrelsens ordförande,"Direktör, styrelsens ordförande",,,,,,,,1972,1974,3,True,"styrelsens ordförande | Direktör, styrelsens ordförande"
"Kruse, Göran",,,Advokat,,,,,,,,1972,1974,3,True,Advokat
"Olson, Hjalmar",,styrelsens vice ordförande,Tekn. Dr. f.d. verkställande direktör i Gustavsbergs Fabriker styrelsens vice ordförande,,,,,,,,1972,1974,3,True,styrelsens vice ordförande | Tekn. Dr. f.d. verkställande direktör i Gustavsbergs Fabriker styrelsens vice ordförande
Berggren,,,,,,,,,,,1981,1981,1,True,
"Berggren, G",,,,,,,,,,,1979,1979,1,True,
"Bratt, Christian",,,,,,,,,,,1972,1972,1,True,
"Granlund, Karl-Åke",,,,Förste förbundsordförande,,,,,,,1975,1975,1,True,Förste förbundsordförande
"Gyllenhammar, Pehr",,,,,,,,,,Verkställande direktör,1981,1981,1,True,Verkställande direktör
"Lönnegårdh, Harald",,,,,,,,,,,1972,1972,1,True,
"Risholm, Anders",,,,Direktör,,,,,,,1975,1975,1,True,Direktör
"Sandberg, Lars",,,,,,,,,Fd förbundsordförande,,1980,1980,1,True,Fd förbundsordförande
"Säve, Carl",,,,,,,,,,,1979,1979,1,True,
