Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,First Year,Last Year,Tenure,Consecutive,Positions
"BILLMAN, STIG",,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,direktör,direktör,,1960,1969,10,True,verkställande direktör | direktör
"DALÉN, GUNNAR",,direktör. ordförande,ordförande,"direktör, ordförande","direktör, ordförande",ordförande,"direktör, ordförande",direktör,direktör,ordförande,,1960,1969,10,True,"ordförande | direktör. ordförande | direktör | direktör, ordförande"
"ÅBERG, SVEN",,direktör,direktör,direktör,direktör,direktör,direktör,,,,,1960,1966,7,True,direktör
"OLSON, G.",,bankdirektör,bankdirektör,bankdirektör,bankdirektör,bankdirektör,,,,,,1960,1965,6,True,bankdirektör
"HAIJ, CURT",,,direktör,direktör,direktör,,direktör,,,,,1962,1966,4,False,direktör
"LINDBLAD, TURE",,,direktör,direktör,direktör,,direktör,,,,,1962,1966,4,False,direktör
"OLSON, GÖSTA",,,,,,,bankdirektör,bankdirektör,bankdirektör,,bankdirektör,1966,1970,4,False,bankdirektör
"BENGTSON, WALDEMAR",,,,,,,,direktör,direktör,,,1967,1968,2,True,direktör
"BODIN, INGVAR",,,,,,,,,verkställande direktör,verkställande direktör,,1968,1969,2,True,verkställande direktör
"Utter, Bertil",,,,,,,,,,direktör,Verkställande direktör,1969,1970,2,True,Verkställande direktör | direktör
"Edström, Nils",,,,,,,,,,bankdirektör,,1969,1969,1,True,bankdirektör
"HAARD, BERTIL",,,direktör,,,,,,,,,1962,1962,1,True,direktör
"HAGLUND, WILHELM",,,,,,,,ordförande,,,,1967,1967,1,True,ordförande
"LIANDER, HALVARD",,,,,,,,,ordförande,,,1968,1968,1,True,ordförande
"Rising, Gustaf",,,,,,,,,,v. ordförande,,1969,1969,1,True,v. ordförande
"SAVE, CARL",,,,,,,,,,,"direktör, ordförande",1970,1970,1,True,"direktör, ordförande"
"SJÖBORG, LARS",,,,,,,,,,,advokat,1970,1970,1,True,advokat
"Ståhlbrandt, Åke",,,,,,,,,,direktör,,1969,1969,1,True,direktör
"WALL, ANDERS",,,,,,,,,,,"direktör, v. ordförande",1970,1970,1,True,"direktör, v. ordförande"
"WEBER, GEORG",,,,,,,,,,,direktör,1970,1970,1,True,direktör
"de VITRY, ARNAUD",,,,,,,,,,,direktör,1970,1970,1,True,direktör
