Name,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,First Year,Last Year,Tenure,Consecutive,Positions
"HILL-LINDQUIST, LARS",vice ordförande,vice ordförande,,vice ordförande,vice ordförande,,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,vice ordförande,vice ordförande,,1959,1973,13,False,vice ordförande
"Risberg, Bo",,,,,,,,,,,,,,,,,1962,1973,11,False,
"AF TROLLE, ULF",,,,,,,,,,,,,,,verkställande direktör,Verkställande direktör,1966,1974,9,True,verkställande direktör | Verkställande direktör
"HARTMANN, FRANZ",ordförande,ordförande,,ordförande,ordförande,,,ordförande,ordförande,ordförande,ordförande,,,,,,1959,1971,9,False,ordförande
"LJUNGCRANTZ, SIGURD",,,,,,,,"suppleant, verkställande direktör","suppleant, verkställande direktör",verkställande direktör,verkställande direktör,,Verkställande direktör,verkställande direktör,,,1963,1973,9,False,"suppleant, verkställande direktör | verkställande direktör | Verkställande direktör"
"CORENIUS, RAGNAR",,,,,,,,,,,,,,,,,1959,1967,7,False,
"HÅKANSON, ERIK",verkställande direktör,verkställande direktör,,verkställande direktör,verkställande direktör,verkst. direktör,,,,,,,,,,,1959,1967,7,False,verkst. direktör | verkställande direktör
"RAMBERG, JOHAN",,,,,,,,,,,,,,,,,1959,1964,5,False,
"SANDÉN, DAVID",,,,,,,,,,,,,,,,,1959,1964,5,False,
"SIMONSSON, SVANTE",,,,,,,,,,,,,,,,,1966,1970,5,True,
"Cavalli-Björkman, Hans",,,,,,,,,,,,,,ordförande,ordförande,,1970,1973,4,True,ordförande
"Hjalmarsson, Harry",,,,,,,,,,,,,,,,,1970,1973,4,True,
"LUNDQUIST, RING",,,,,,,,suppleant,suppleant,,,,,,,,1963,1967,3,False,suppleant
"Hartmann, F.",,,,,,,,,,,,,,,,,1964,1970,2,False,
"Ekström, Per",,,,,,,,,,,,,,,,,1974,1974,1,True,
"Löjdquist, Inge",,,,,,,,,,,,,,,,,1974,1974,1,True,
"Mauritzon, Lars",,,,,,,,,,,,,,,,,1974,1974,1,True,
"Styren, Ulf",,,,,,,,,,,,,,,,,1974,1974,1,True,
"Ågrup, Sven",,,,,,,,,,,,,,,,ordförande,1974,1974,1,True,ordförande
