Name,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2003,First Year,Last Year,Tenure,Consecutive,Positions
"OHMAN, ANDERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advokat, Djursholm",Advokat,,Advokat,Advokat,Advokat,Advokat,Advokat,Advokat,Advokat,Advokat,Advokat,Advokat,,,,Styrelseledamot,,,,,Verkställande direktör,,,,,,,,,,,,,1968,1993,24,False,"Verkställande direktör | Styrelseledamot | Advokat | Advokat, Djursholm"
"HERSLOW, ERNST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, Malmö","Direktör, Malmö",Direktör,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,ordförande,,,,,,,,,,,,,,,,,,,1962,1984,22,False,"ordförande | Direktör | Direktör, Malmö"
"DAHLSTEN, GUNNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, suppleant",Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,styrelseledamot,,,,,ledamot,,,,,,,,,,,,,1972,1993,21,False,"ledamot | Direktör | styrelseledamot | Direktör, suppleant"
"KARLEBY, OLLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, Stockholm","Direktör, Stockholm",Direktör,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,1967,1982,16,True,"Direktör | Direktör, Stockholm"
"BERGQVIST, A.",,,,,,,,,,,,,,,,,,,,,,,,Verkst. direktör,Verkst direktör,Verkst. direktör,,,,Verkst. direktör,"Direktör, Lidingö, verkst. direktör","Direktör, Lidingö, verkst. direktör",,Verkst. direktör,"Direktör, verkst. direktör",,"Direktör, verkst. direktör",,Direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1982,15,False,"Direktör, Lidingö, verkst. direktör | Verkst direktör | Direktör | Verkst. direktör | Direktör, verkst. direktör"
"LEFFLER, HAKON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942,1961,15,False,
"SJÖGREN, IWAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1963,13,False,
"ANDO, SIGVARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, verkst. direktör","Direktör, verkst. direktör",Verkst direktör,"Direktör, verkst direktör","Direktör, verkst direktör","Direktör, verkst direktör",,,,VD,,,,Ordförande,ledamot,,,,,,,,,,,,,1975,1990,11,False,"ledamot | Verkst direktör | Ordförande | Direktör, verkst direktör | VD | Direktör, verkst. direktör"
"EKLUND, RUDOLF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1960,11,False,
"SCHWARTZ, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fil. doktor, Djursholm, ordförande",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,1967,11,False,"Fil. doktor, Djursholm, ordförande"
"THOMASSON, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, Hälsingborg","Direktör, Hälsingborg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,1968,9,False,"Direktör, Hälsingborg"
"ÖBERG, LARS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,,"Verkst
Verkställande direktör",Verkställande direktör,,,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,,,,,,,,1985,1995,9,False,"Verkst
Verkställande direktör | Styrelseledamot | Verkställande direktör"
"DANIELSON, STIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, Göteborg",Direktör,,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,1975,8,True,"Direktör | Direktör, Göteborg"
"Eriksson, Per-Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,2003,8,False,
"Haak, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,,ordförande,,,Ordförande,,Ordförande,Ordförande,Ordförande,,,,,,,,,1984,1994,8,False,Ordförande | ordförande
"Hagströmer, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STYRELSEORDFÖRANDE,ORDFÖRANDE,ORDFÖRANDE,STYRELSEORDFÖRANDE,ORDFÖRANDE,ORDFÖRANDE,1995,2003,8,False,STYRELSEORDFÖRANDE | ORDFÖRANDE
"BERGQVIST, ÅKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, verkst. direktör",,,"Direktör, verkst. direktör",,"Direktör, verkst. direktör",,,"Direktör, ordf","Direktör, ordf",Direktör,"Direktör, ordf",,,,,,,,,,,,,,,,,,,,,,1969,1980,7,False,"Direktör, ordf | Direktör | Direktör, verkst. direktör"
"CARLSON, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1948,7,False,
"GUSTAFSSON, LEIF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,2003,7,False,
"JOHANSSON, TYRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riksdagsledamot,"Riksdagsledamot, Uddevalla suppleant",Riksdagsledamot,Riksdagsledamot,Riksdagsledamot,Riksdagsledamot,,,,,,,,,,,,,,,,,,,,,,,1974,1981,7,False,"Riksdagsledamot, Uddevalla suppleant | Riksdagsledamot"
"LEKSELL, OVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, vice verkst. direktör, suppleant","Direktör, vice verkst. direktör, suppleant",Direktör,"Direktör, vice verkst direktör, suppleant","Direktör, vice verkst direktör, suppleant","Direktör, vice verkst direktör, suppleant",,,,vVD,,,,,,,,,,,,,,,,,,1975,1985,7,False,"vVD | Direktör | Direktör, vice verkst direktör, suppleant | Direktör, vice verkst. direktör, suppleant"
"QVIBERG, MATS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,2003,7,False,
"SOHLMAN, SVERRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bruksdisponent, Saltsjöbaden",,,,"Bruksdisponent, ordf.","Bruksdisponent, ordf.",ordf.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,1974,7,False,"ordf. | Bruksdisponent, Saltsjöbaden | Bruksdisponent, ordf."
"TONDEN, ALBERT",,,,,,,,,,,,,Verkst. direktör,Verkst. direktör,Verkst. direktör,Verkst direktör,Verkst. direktör,Verkst. direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1956,7,False,Verkst direktör | Verkst. direktör
"DUNKER, HENRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1944,6,False,
"GYLLENHAMMAR, PEHR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,1972,1977,6,True,Direktör
"HARTMANN, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,1970,6,False,
HERSLOW,,,,,,,,,,,,,,,C:SON,,,,,C:SON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1958,6,False,C:SON
"Johansson, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ledamot,,,,,,,,,,,,,1987,1992,6,True,ledamot
"Johnson, Sten K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,2003,6,False,
"SODERLUND, GUSTAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1963,6,True,
"THUNHOLM, LARS-ERIK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektör,Direktör,Bankdirektör,Bankdirektör,Bankdirektör,,,,,,,,,,,,,,,,,,,,,,1976,1984,6,False,Direktör | Bankdirektör
"Ulfsparre, Karin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civilekonom,Civilekonom,,,,Styrelseledamot,,,,,,,,,,,,,,,,,,1979,1985,6,False,Civilekonom | Styrelseledamot
"ERIKSSON, OLLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riksdagsledamot, suppleant",Riksdagsledamot,Riksdagsledamot,"Riksdagsledamot, suppleant",,,,,,,,,,,,,,,,,,,,,,,1976,1981,5,False,"Riksdagsledamot | Riksdagsledamot, suppleant"
"FESSÉ, FOLKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bankdirektör, Stockholm",Bankdirektör,,,Bankdirektör,Bankdirektör,Bankdirektör,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,1974,5,False,"Bankdirektör, Stockholm | Bankdirektör"
"GARDELL, CHRISTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERKSTÄLLANDE DIREKTÖR,VERKSTÄLLANDE DIREKTÖR,VERKSTÄLLANDE DIREKTÖR,VERKSTÄLLANDE DIREKTÖR,,,,1996,2000,5,True,VERKSTÄLLANDE DIREKTÖR
"HOLMSTRÖM, LENNART",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,,,,,,,,,,,,,,,,,1985,1989,5,True,Styrelseledamot
"SENNEBY, BENGT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,,,,,,,,,,,,,,,,,1985,1989,5,True,Styrelseledamot
"HARTMANN, FRANS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disponent, Göteborg","Disponent, Göteborg",Disponent,,Disponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,1971,4,False,"Disponent, Göteborg | Disponent"
