Name,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,First Year,Last Year,Tenure,Consecutive,Positions
"Nachmanson, Aug.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1945,31,False,
"Wallenberg, Marc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1942,27,False,
"Gullander, Oscar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1946,20,True,
"Hellner, Joh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1942,16,True,
"Mannheimer, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1926,13,True,
"Nilsson, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1926,10,False,
"Lundqvist, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1922,8,False,
"Söderberg, Ragnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1949,7,True,
"Calissendorff, Rolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande Direktör,Verkställande Direktör,Verkställande Direktör,1946,1949,4,True,Verkställande Direktör
"Liljenroth, F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1948,4,True,
Kjellberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1918,3,False,
Liljenroth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1949,3,False,
"Nachmanson, Josef",,,Inkallad suppleant,Inkallad suppleant.,,ink. suppleant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1919,3,False,Inkallad suppleant | ink. suppleant. | Inkallad suppleant.
"Kjellberg, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1917,2,True,
"Lauritzen, H.",,,,,,,,Inkallad suppleant.,Inkallad suppleant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921,1922,2,True,Inkallad suppleant.
"Frisell, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,1920,1,True,
"Holgersson, S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1949,1,True,
"Landqvist, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,1920,1,True,
Nachmanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,1944,1,True,
"Nilsson, Fr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,1918,1,True,
