Name,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1970,1971,1972,1973,1976,1979,1980,1981,1984,2000,2001,First Year,Last Year,Tenure,Consecutive,Positions
"Johansson, Hemming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,1952,41,False,Direktör
"Wallenberg, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektör,"Bankdirektör, v. ordf.","Bankdirektör, v. ordf.","Bankdirektör, v. ordf.","Bankdirektör, v. ordf.",Bankdirektör v. ordf.,"Bankdirektör, ordf.","Bankdirektör, ordf.",Ordförande,Ordförande,,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Chairman,Ordförande,,,,,Deputy chairman,Deputy chairman,1947,2001,27,False,"Chairman | Bankdirektör | Bankdirektör, v. ordf. | Bankdirektör v. ordf. | Bankdirektör, ordf. | Ordförande | Deputy chairman"
"Woxén, Ragnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professor,Professor,Professor,Professor,Professor,Professor,Professor,Professor,PROFESSOR,Professor,,Professor,Professor,Professor,PROFESSOR,,Generaldirektör,,,,,,,,,,,,,,,,1947,1976,25,False,Professor | Generaldirektör | PROFESSOR
"Johnsson, Wiking",,,,,,,,,,,,,,,,,,,,,,,bankdirektör,,,,,,,,,,,,,,,Disponent,Disponent,Disponent,Disponent,Disponent,,Disponent,Disponent,,,,,,,,,,,,,,,,,,,,,,,,,1932,1954,20,False,bankdirektör | Disponent
"Rudberg, Sten",,,,,,,,,,,,,,,,,,,,,,,kapten,,,,,,,,,,,,,,,Kapten,Kapten,Kapten,Kapten,Kapten,,Kapten,Kapten,,,,,,,,,,,,,,,,,,,,,,,,,1932,1954,20,False,Kapten | kapten
"Wallenberg Jr., M.",,,,,,,,,,,,,,,,,,,,,,,,,,Jr.,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektör,,BANKDIREKTÖR,,,,,,,,,,,,,,,,,,1932,1970,19,False,Jr. | BANKDIREKTÖR | Bankdirektör
"Söderman, Wilhelm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,DIREKTÖR,Direktör,,Direktör,Direktör,Direktör,DIREKTÖR,,Direktör,,,,,,,,,,,,,,,,1953,1973,18,False,Direktör | DIREKTÖR
"Åberg, Sven Ture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, verkst. dir.","Direktör, verkst. dir.",Verkställande direktör,Verkställande direktör,,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Direktör,,,,,,,,,,,,,,,,1953,1972,17,False,"Direktör | Direktör, verkst. dir. | Verkställande direktör"
"Browaldh, Ernfrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektör,Bankdirektör,Bankdirektör,Bankdirektör,"Bankdirektör, v. ordf.","Bankdirektör, v. ordf.",BANKDIREKTÖR Vice ordförande,Vice ordförande,,Bankdirektör Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,,,,,,,,,,,,,,,1949,1965,15,False,"Bankdirektör | Vice ordförande | Bankdirektör, v. ordf. | Bankdirektör Vice ordförande | BANKDIREKTÖR Vice ordförande"
"Anderberg, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konteramiral,Konteramiral,VICE AMIRAL,Viceamiral,,Viceamiral,Viceamiral,Viceamiral,VICEAMIRAL,,Viceamiral,,,,,,,,,,,,,,,,1953,1968,14,False,VICEAMIRAL | VICE AMIRAL | Viceamiral | Konteramiral
"BOHEMAN, ERIK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice Chairman,,,,,,,,1959,1973,14,False,Vice ordförande | Vice Chairman
"Borgquist, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933,1946,14,True,
"Browaldh, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektör,Bankdirektör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,1948,12,False,Bankdirektör
"Högstedt, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932,1944,12,False,
