Name,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1971,1973,1974,1976,1977,1979,1981,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,First Year,Last Year,Tenure,Consecutive,Positions
"BENDZ, TORE",kapten,kapten,kapten,"kapten, Eskilstuna.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1948,33,False,"kapten, Eskilstuna. | kapten"
"LAGRELIUS, AXEL",v. ordförande,v. ordförande,v. ordförande,"hovintendent, Stockholm, v. ordförande",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1944,31,True,"hovintendent, Stockholm, v. ordförande | v. ordförande"
"SÖDERBERG, RAGNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V. ORDF.,v. ORDF.,GENERALKONSUL,GENERALKONSUL,GENERALKONSUL ORDF.,Ordf.,"GENERALKONSUL, ORDF.",ORDF.,ORDF.,General Konsul,ORDF.,,,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,1942,1973,29,False,"ORDF. | Ordf. | General Konsul | GENERALKONSUL | V. ORDF. | GENERALKONSUL ORDF. | GENERALKONSUL, ORDF. | ordförande | v. ORDF."
"CARLESON, CONRAD",ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1946,27,False,ordförande
"JOCHNICK, ADOLF",,,,"generaldirektör, Stockholm, ordförande",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,1942,24,False,"generaldirektör, Stockholm, ordförande"
"JOHNSON, CARL",konsul,konsul,konsul,"konsul, Hälsingborg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1935,22,True,"konsul | konsul, Hälsingborg."
"NORDENFALK, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkst. direktör,,,VERKST. DIREKTOR,f. d. HOVRÄTTSRÅDET,f. d. HOVRÄTTSRÅDET VERKST. DIREKTÖR,,,"f. d. HOVRÄTTSRÅDET, VERKST. DIREKTÖR",f. d. HOVRÄTTSRÅDET,VERKST. DIREKTÖR,f. d. Hovrättsrådet,f. d. HOVRÄTTSRÅDET,,,f. d. Hovrättsrådet,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,1968,22,False,"f. d. HOVRÄTTSRÅDET | f. d. HOVRÄTTSRÅDET VERKST. DIREKTÖR | f. d. HOVRÄTTSRÅDET, VERKST. DIREKTÖR | Verkställande direktör | VERKST. DIREKTOR | f. d. Hovrättsrådet | VERKST. DIREKTÖR | Verkst. direktör"
RAMSTRÖM,verkst. direktör,verkst. direktör,verkst. direktör,"ingenjör, Stockholm, verkst. direktör.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,1935,22,True,"verkst. direktör | ingenjör, Stockholm, verkst. direktör."
"HÄGGLÖF, KJELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIREKTÖR,DIREKTÖR,DIREKTÖR,DIREKTÖR,,DIREKTÖR,DIREKTÖR,,Direktör,DIREKTÖR,,,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1969,20,False,Direktör | DIREKTÖR
"VON HORN, KNUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAMMARHERRE,ÖVERINTENDENT,ÖVERINTENDENT,,,ÖVERINTENDENT,ÖVERINTENDENT,,,ÖVERINTENDENT,,,Överintendent,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1977,20,False,Överintendent | ÖVERINTENDENT | KAMMARHERRE
