Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,First Year,Last Year,Tenure,Consecutive,Positions
"Söderberg, Erik",,Direktör,Direktör,Direktör,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,1971,1993,23,True,Direktör
Trolle-Wachtmeister,,vice ordförande,vice ordförande,vice ordförande,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,ordförande,Ordförande,ordförande,ordförande,Direktör,,,,,,,,,,1971,1993,23,True,Ordförande | ordförande | Direktör | vice ordförande
"Bystedt, Gösta",,,,,,,,Direktör,Direktör,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Ordförande,1978,1993,16,True,Vice ordförande | Direktör | Ordförande | vice ordförande
"Salén, Christer",,Direktör,Direktör,Direktör,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,,1971,1983,13,True,Direktör
"Westin, Jan",,,"Bankdirektör, verkställande direktör",,,"Bankdirektör, verkställande direktör",Bankdirektör,Bankdirektör,,Bankdirektör,Verkställande direktör,Bankdirektör,Bankdirektör,Bankdirektör,,,,,,,,,,1973,1985,10,False,"Bankdirektör, verkställande direktör | Verkställande direktör | Bankdirektör"
"Nilsson, Thomas",,,,,,,,,,,,,,,Verkställande direktör,,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,1985,1993,8,False,Verkställande direktör
"Pettersson, Eric",,,Generaldirektör,Generaldirektör,,,Generaldirektör,Generaldirektör,Generaldirektör,Generaldirektör,Generaldirektör,Generaldirektör,,,,,,,,,,,,1973,1982,8,False,Generaldirektör
"Ankarcrona, Sten",,ordförande,,,ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,1971,1979,7,False,ordförande
"Fagerlund, Bengt",,,Riksdagsledamoten,,,Riksdagsledamoten,Riksdagsledamoten,Riksdagsledamot,,Riksdagsledamot,Riksdagsledamot,Riksdagsledamot,,,,,,,,,,,,1973,1982,7,False,Riksdagsledamoten | Riksdagsledamot
"Sahlin, Mauritz",,,,,,,,,,,,,,,,,,,,,,,,1986,1993,7,False,
"de Geer, Carl",Verkst. Dir.,,,,,,,,,,,,,,,,,,,,,,,1971,1977,7,True,Verkst. Dir.
"Norgren, Christian",,,,,,,,,,,,,,Direktör,,,,,,,,,,1984,1988,5,True,Direktör
"Trolle-Wachtmeister, Hans Gabriel",,,,,,,,,,,,,,,,,,,Ordförande,Ordförande,Ordförande,Ordförande,,1989,1992,4,True,Ordförande
"Wallenberg Jr, Peter",,,,,,,,,,,,,,,,,,,,,,,,1990,1993,4,True,
"Björnsson, Björn",,,,,,,,,,,,Direktör,Verkställande direktör,verkställande direktör,,,,,,,,,,1982,1984,3,True,Direktör | verkställande direktör | Verkställande direktör
"Stenhammar, Olof",,,,,,,,,,,,,,,,,,,,,,,,1990,1993,3,False,
"Ankarcrona, Sten",,,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,1973,1974,2,True,ordförande
"Wallenberg, Marcus",,,,,,,,,,,,,,,,,,,,,,,Vice ordförande,1993,1993,1,True,Vice ordförande
