Name,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,First Year,Last Year,Tenure,Consecutive,Positions
BROWALDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1959,22,False,
"EISERMAN, CARL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1965,19,True,
"ELFSTRÖM, NILS",,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,verkst. dir.,verkst. dir.,verkställande direktör,,,,,,,,,,,,,,,,,1945,1972,17,False,verkst. dir. | verkställande direktör | Verkställande direktör
"LUNDBERG, ERIK",,,,,,,,,,,,,,,Verkställande direktor,,,,,,,,,,,,,,,Professor,,,,,,,,,,,,,,,,,,1950,1968,17,False,Professor | Verkställande direktor
ÅSELIUS,,,,,,,,,,,Verkställande direktör,Verkställande direktör,,,,Verkställande direktör,,,Verkställande direktör,Verkställande direktör,Verkställande direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1964,17,False,Verkställande direktör
"ÖBERG, THURE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1961,13,False,
"ERICSSON, ARVID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1949,12,False,
"Häggqvist, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,,,,,,1965,1976,12,True,Direktör | vice ordförande
"Höglund, Christer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,1966,1977,12,True,Direktör
"Sjöholm, Sten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1982,11,True,
"Berggren, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,1968,1977,10,True,ordförande | vice ordförande
"Åsberg, Alvar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,1981,9,True,
"LUNDBERG, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1945,8,False,
"Nygren, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,,,,,,1972,1979,8,True,verkställande direktör
"WIRSTRÖM, LARS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,1963,1971,8,False,ordförande | vice ordförande
"BERGENGREN, AXEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1944,7,False,
HÄGGQVIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1964,7,True,
"Kock, Ingvar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,1979,7,True,
"ÖDMARK, STIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,1946,1967,7,False,ordförande
"Edlund, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v. verkst. dir.,,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,ordförande,,,,,,,,,,,,1966,1972,6,False,ordförande | verkställande direktör | v. verkst. dir.
"FORNANDER, AXEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1942,6,True,
"Landqvist, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,1983,6,True,
"Langenskiöld, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,1966,1973,6,False,Direktör
"Pehrsson, Folke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,1976,6,False,
"Wahlström, Björn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1977,6,True,
"Westerberg, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,ordförande,ordförande,ordförande,ordförande,1978,1983,6,True,ordförande
