Name,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1976,1977,1978,First Year,Last Year,Tenure,Consecutive,Positions
"SJÖGREN, EINAR",,,,,,,,,,,,,Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1962,32,False,Board of Directors
"FORD, HENRY",,,,,,,,,,,,,,,,,,,,,,,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1967,21,False,II
"STÉN, HELMER",,,,,,,,,,,,,Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1949,21,True,Board of Directors
"BRÖNDUM, OTTO",,,,,,,,,,,,,,Deputy Members of the Board.,,,,,,,Deputy Members of the Board.,,,,Managing Director,,,,,,Managing Director,,,,,,,,,,,,,,,,,,,,1934,1962,19,False,Managing Director | Deputy Members of the Board.
"FORD, EDSEL",,,,,,,,,,,,,Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1943,15,True,Board of Directors
"WETTER, SUNE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordförande,Ordförande - Chairman,Chairman,Ordförande - Chairman,Ordförande - Chairman,Ordförande - Chairman,Ordförande Chairman,Ordförande - Chairman,Ordförande-Chairman,Ordförande-Chairman,Ordförande-Chairman,Ordförande-Chairman,Ordförande-Chairman,Ordförande-Chairman,,,,,1959,1973,15,True,Chairman | Ordförande-Chairman | Ordförande | Ordförande Chairman | Ordförande - Chairman
"BORLIND, OVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,1968,13,True,
"HEIDENSTAM, ROLF",,,,,,,,,,,,,Board of Directors,,,,,,,,,,,Ordförande,Chairman,,Ordförande,Chairman,Chairman,Ordförande,,,,,,,,,,,,,,,,,,,,,1939,1957,13,False,Board of Directors | Ordförande | Chairman
"HÈRNOD, TORSTEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941,1955,13,False,
"LÖFGREN, ELIEL",,,,,,,,,,,,,Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1940,12,True,Board of Directors
