Name,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2005,2008,2009,2010,2011,First Year,Last Year,Tenure,Consecutive,Positions
"Persson, Stefan",,,,,,,,,verkst direktör,verkst direktör,Verkställande direktör,VD H&M,VD H&M,VD H & M,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,Koncernchef och VD,,Ordförande,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman of the Board,Chairman of the Board,Chairman of the Board,Chairman,1976,2011,30,False,Chairman of the Board | Chairman | VD H & M | Verkställande direktör | verkst direktör | Ordförande | Koncernchef och VD | VD H&M
"Enochsson, Vivian",,,,suppleant,,,,,,,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,,Arbetstagarledamot,Employee representative,,Employee representative,Employee representative,employee representative,,,,,1977,2005,27,False,suppleant | Employee representative | Arbetstagarledamot | employee representative
"Wikander, Sten",,,,,,,,,,,VD 4:e AP-fonden,Ordförande,Ordförande,Ordförande H & M,Ordförande,Ordförande,Ordförande H&M,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande H&M,Ordförande,Ordförande H&M,,,,,,,,,,,,1974,1997,24,True,VD 4:e AP-fonden | Ordförande H & M | Ordförande | Ordförande H&M
"Nordfelt, Stig",,,,,,,,,,,,,,VD Spiran Förvaltnings AB,Arbetstagarledamot,VD,VD Pilen AB,VD Pilen AB,VD Pilen AB,VD Pilen AB,VD Pilen AB,VD Pilen AB,VD Pilen AB,VD Pilen AB,,,Managing Director,,"Managing Director, Pilen AB",,,Board member,Board member,,,1987,2009,19,False,"Managing Director, Pilen AB | Arbetstagarledamot | Board member | VD Pilen AB | Managing Director | VD | VD Spiran Förvaltnings AB"
"Andersson, Fred",,,,,,,,,,,,,,,,,Koncernchef Scandic Hotel AB,Direktör,VD Volvo Personbilar Sverige AB,Ledamot,VD Volvo Personbilar Sverige AB,VD EF Education Yacht Racing AB,VD EF Education Yacht Racing AB,VD EF Education Yacht Racing AB,,,Managing Director,,"CEO, Nicator Group AB",,,Board member,,,,1990,2008,15,False,"VD Volvo Personbilar Sverige AB | VD EF Education Yacht Racing AB | Koncernchef Scandic Hotel AB | Ledamot | CEO, Nicator Group AB | Direktör | Managing Director | Board member"
"Jacobsen, Jan",,,,,,,,,,,,,,,Finansdirektör,Finansdirektör,Finansdirektör H&M,Finansdirektör,Finansdirektör,Finansdirektör,Finansdirektör H&M,Finansdirektör H&M,Finansdirektör H&M,"Finansdirektör H&M, Suppleant",,Suppleant,Director of Finance,,Deputy member of the board,Deputy member,deputy,,,,,1988,2005,15,False,"Deputy member | deputy | Finansdirektör H&M, Suppleant | Director of Finance | Finansdirektör H&M | Deputy member of the board | Finansdirektör | Suppleant"
"Felixon, Max",,,,,,,,,,suppleant,,,,Direktör H & M,Inköpsdirektör H&M,Inköpsdirektör,Inköpsdirektör,Inköpsdirektör,Inköpsdirektör,Inköpsdirektör,Inköpsdirektör H&M,Inköpsdirektör H&M,Inköpsdirektör H&M,"Inköpsdirektör H&M, Suppleant",,,,,,,,,,,,1981,1997,14,False,"Inköpsdirektör | Inköpsdirektör H&M, Suppleant | suppleant | Inköpsdirektör H&M | Direktör H & M"
"Johansson, Ella",,,,suppleant,suppleant,suppleant,suppleant,,,,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,,,,,,,,,,,,,,,,,,,1977,1990,14,True,suppleant | Arbetstagarledamot
"Lundquist, Bo",,,,,,,,,,,,,,,,,,,,,,Koncernchef och VD Esselte AB,Koncernchef och VD Esselte AB,Styrelseledamot,,,,,,,,Board member,Board member,Board member,Board member,1995,2011,13,False,Styrelseledamot | Board member | Koncernchef och VD Esselte AB
"Magnusson, Christer",,,,,,,,,,,VD Linjeflyg,VD Linjeflyg,VD Linjeflyg,VD Fastighets AB Stockholm-Saltsjön,VD Fastighets AB Stockholm-Saltsjön,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,,,,,,1984,1994,11,True,VD Fastighets AB Stockholm-Saltsjön | Direktör | VD Linjeflyg
