Name,1927,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,2002,2003,2005,2006,First Year,Last Year,Tenure,Consecutive,Positions
"DAHLSTEN, GUNNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,Direktör,,,,,,,Direktör,Direktör,,,verkställande direktör i Swedish Match AB,direktör,styrelseordförande,styrelseordförande i,,,,ledamot,ledamot,ledamot,,,,,,,,,,,1970,1997,28,True,ledamot | verkställande direktör i Swedish Match AB | styrelseordförande i | direktör | styrelseordförande | Direktör
"Schmidt, Gunnar",,,,,,,,,,,,,,,,,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,,Verkställande direktör,Verkställande direktör,Verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,,,Direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,,1953,1980,25,False,Direktör | verkställande direktör | Verkställande direktör
"KARLEBY, OLLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,"ordförande, styrelseordförande i Svenska Kreditförsäkrings AB",ordförande,styrelseordförande,ordförande,ordförande,,,,,,,,,,,,,,,,1967,1987,21,True,"ordförande, styrelseordförande i Svenska Kreditförsäkrings AB | direktör | vice ordförande | styrelseordförande | ordförande"
"RYDÉ, KURT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,Direktör,Direktör,,,direktör,verkställande direktör,direktör,direktör,direktör,,,ledamot,,,,,,,,,,,,,1972,1990,19,True,ledamot | Direktör | verkställande direktör | direktör
"Öberg, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,ordförande,ordförande,,ordförande,ordförande,ordförande,Ordförande,Ordförande,Ordförande,,,,,,,1976,1996,19,False,Ordförande | ordförande | verkställande direktör
"Olsson, Curt G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,styrelseordförande i Skandinaviska Enskilda Banken,styrelseordförande,styrelseordförande,styrelseordförande i,,,,ledamot,ledamot,ledamot,,,,,,,,,,,1983,2002,17,False,styrelseordförande | styrelseordförande i Skandinaviska Enskilda Banken | styrelseordförande i | ledamot
"Bohman, Gösta",,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör,,,,,,,,direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,1976,16,False,Direktör | verkställande direktör | direktör
"BERGQVIST, ÅKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,1969,1982,14,True,ordförande | vice ordförande
"Hellstenius, G.",,,,,,,,,,,,verkställande direktör,,verkställande direktör,verkställande direktör,Verkställande direktör,,,,,,,,,,,,,,,,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1968,14,False,ordförande | verkställande direktör | Verkställande direktör
"Wibom, Tor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1959,14,False,
