Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,First Year,Last Year,Tenure,Consecutive,Positions
"Gustafsson, Sten",verkställande direktör,"Verkst, direktör",verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,vice ordförande,,vice ordförande,,ordförande,Ordförande,ordförande,Ordförande,Ordförande,Ordförande,,ordförande,1970,1989,17,False,"verkställande direktör | vice ordförande | Ordförande | ordförande | Verkst, direktör"
"Nicolin, Curt",,,,,,,,,,,,,,,,,,,,ledamot,1970,1989,15,False,ledamot
"Stahle, Hans",,,,,,,,,,,,,,,,,,,,,1970,1987,15,False,
"WALLENBERG, PETER",,,,,Suppleanter,Suppleant,Suppleant,Suppleanter,Suppleanter,,,,,,,,,,,ledamot,1974,1989,12,False,Suppleant | ledamot | Suppleanter
"Eidem, Ingmar",,,,,,,,,,,,,,,,,,,,,1970,1982,11,False,
"LINDEROTH, KARL-AXEL",,,,,,,,,,,,,,,,,,,,ledamot,1976,1989,11,False,ledamot
"Wallenberg, Marcus",ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,,ordförande,,,,,,,,,,1970,1980,10,False,ordförande
"Leijonhufvud, Erik",,,,Suppleant,Suppleanter,,,,,,,,,,,,,,,,1970,1980,8,False,Suppleant | Suppleanter
"Svensson, Assar",,,,,,,,,,,,,,,,,,,,ledamot,1982,1989,7,False,ledamot
"Cavalli-Björkman, Hans",,,,,,,,,,,,,,,,,,,,ledamot,1983,1989,6,False,ledamot
"Nilson, Tore",,,,,,,,,,,,,,,,,,,,,1970,1975,6,True,
"BERGGREN, BO",,,,,,,,,Verkställande direktör,ordf.,verkställande direktör,,verkställande direktör,Verkst. direktör,,,,,,,1978,1983,5,False,ordf. | verkställande direktör | Verkställande direktör | Verkst. direktör
"BRUNDIN, OVE",,,,,,,,,,,,,,Arbetstagarrepresentant,,,,,,,1980,1985,5,False,Arbetstagarrepresentant
"MAURITZSON, INGE",,,,,,,,Suppleanter,Suppleanter,,,,,,,,,,,suppleant,1977,1989,5,False,suppleant | Suppleanter
"Kylberg, Lars",,,,,,,,,,,,,,,,,Verkst. direktör,Verkst. direktör,,,1984,1987,4,True,Verkst. direktör
"Lundberg, Fredrik",,,,,,,,,,,,,,,,,,,,ledamot,1985,1989,4,False,ledamot
"Malmström, Sven",,,,,,,,,,,,,,,,,,,,,1970,1973,4,True,
"Nygren, Bengt-Ola",,,,,,,,,,,,,,,,,Arbetstagarrepresentant,,,ledamot,1985,1989,4,False,ledamot | Arbetstagarrepresentant
"Eckeskog, Sture",,,,,,,,,,,,,,,,,Arbetstagarrepresentant,,,ledamot,1986,1989,3,False,ledamot | Arbetstagarrepresentant
"Eriksson, Bertram",,,,,,,,,,,,,,Arbetstagarrepresentant,,,,,,,1982,1984,3,True,Arbetstagarrepresentant
"
Aberg, Sven",,,,,,,,,,,,,,,,,,,,,1970,1971,2,True,
"Burström, Tore",,,,,,,,,,,,,,,,,,,,suppleant,1987,1989,2,False,suppleant
"PALMBERG, GÖSTA",,,,,,,,,,,,,,,,,,,,,1977,1978,2,True,
""",, SVEN",,,,,,,,,,,,,,,,,,,,,1972,1972,1,True,
"Abel, Enno",,,,,,,,,,,,,,,,,,,,,1979,1979,1,True,
"Andersson, Lars-Erik",,,,,,,,,,,,,,,,,,,,,1979,1979,1,True,
"Andersson, Per-Olow",,,,,,,,,,,,,,,,,,,,,1979,1979,1,True,
"BRÄNDSTROM, HILDING",,,,,,,,,Vice verkställande direktör,,,,,,,,,,,,1978,1978,1,True,Vice verkställande direktör
"Bern, Lars",,,,,,,,,,,,,,,,,,,,ledamot,1989,1989,1,True,ledamot
"Caspar, H.",,,,,,,,,,VD,,,,,,,,,,,1979,1979,1,True,VD
"Johnsson, Erik",,,,,,,,,,,,,,,,,,,,,1979,1979,1,True,
"KARLSSON, RUNE",,,,,,,,,,,,,,,,,,,,,1980,1980,1,True,
"LUNDVALL, BJÖRN",,,,,,,,,,,,,,,,,,,,,1978,1978,1,True,
"Lundberg, Per",,,,,,,,,,,,,,,,,,,,suppleant,1989,1989,1,True,suppleant
"Regnér, Bertil",,,,,,,,,,hedersordf.,,,,,,,,,,,1979,1979,1,True,hedersordf.
"WALLENTINSON, CLAES",,,,,,,,,,,,,,,,,,,,,1980,1980,1,True,
"Welinder, Gunnar",,,,,,,,,,,,,,,,,,,,,1979,1979,1,True,
ÅBERG,,,,,,,,,,,,,,,,,,,,,1972,1972,1,True,
"Åberg, Bertil",,,,,,,,,,,,,,,,,,,,suppleant,1989,1989,1,True,suppleant
