Name,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,First Year,Last Year,Tenure,Consecutive,Positions
"Eiserman, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1957,22,False,
"HÖGLUND, CHRISTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,Direktör,,,,Direktör,Direktör,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,vice ordförande,vice ordförande,1957,1977,18,False,Direktör | Verkställande direktör | vice ordförande
"LAGNELL, GUNNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,verkst. direktör,verkställande direktör,Verkställande direktör,,verkställande direktör,verkställande direktör,verkställande direktör,,Direktör,,,,,Direktör,,Direktör,1959,1977,18,False,verkst. direktör | verkställande direktör | Verkställande direktör | Direktör
"ODMARK, STIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,,,,,,,,,,,,,,1949,1965,15,False,vice ordförande
"Bergengren, Axel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1945,14,False,
"HALLIN, OLOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,,,Direktör,,,,Direktör,Direktör,,,,,,,,,,,1953,1967,14,False,Direktör | Verkställande direktör
"LINDQUIST, IVAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,Direktör,Direktör,,,Direktör,,,,,,,,1958,1971,13,False,Direktör
"PFANNENSTILL, OBO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,ordförande,ordförande,,,,,,,,,,,,,,1947,1964,13,False,ordförande
"Anderson, Arthur",,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,,,,,,,,,,,,,,,,,,,,,1941,1955,11,False,Verkställande direktör
"TROLLE, ULF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professor,Professor,ordförande,ordförande,Ordförande,ordförande,ordförande,ordförande,ordförande,,ordförande,ordförande,1966,1977,11,False,Professor | ordförande | Ordförande
"Edlund, C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1947,9,False,
"Håkanson, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1940,9,False,
"PEHRSSON, FOLKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,Direktör,1968,1977,9,False,Direktör
Hörstadius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1955,8,False,
Edlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934,1950,7,False,
"LANGENSKIOLD, CARL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friherre,,,,,,,,1968,1974,7,True,Friherre
"PONTIN, MAGNUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,,Verkställande direktör,,Verkställande direktör,Verkställande direktör,1969,1977,7,False,Verkställande direktör
"BERGENGREN, GÖRAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,,,,,,,,,,,1962,1967,5,False,vice ordförande
"Olander, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941,1945,5,True,
"Zweigbergk, E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1937,5,False,
"Håkanson, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1934,4,False,
"MAURITZON, LARS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,1973,1977,4,False,Direktör
"TILERT, REIDAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ledamot,,Generaldirektör,Direktör,1973,1977,4,False,ledamot | Direktör | Generaldirektör
"HÖRSTADIUS, RAGNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1974,3,True,
"ODDESTAD, HANS",,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,Verkställande direktör,,,,,,,,,,,,,,,,,,,1956,1958,3,True,Verkställande direktör
"Hörstadius, N. W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942,1947,2,False,
"JOHANSSON, OLOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,,Riksdagsledamot,,1974,1976,2,False,Riksdagsledamot | suppleant
"Olsen, Olaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1930,2,True,
PFANNENSTILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1950,2,True,
"UDMARK, STIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,Ordförande,,,,,,,,,,,1966,1967,2,True,Ordförande | ordförande
Zweigbergk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934,1938,2,False,
"ANDERSON, Arthur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1947,1,True,
"Daniel, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,1940,1,True,
"EISERMAN, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1947,1,True,
