Name,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,2005,2006,2007,2014,2015,First Year,Last Year,Tenure,Consecutive,Positions
"Stenbeck, Hugo",,,,,,,,,,,,,,,,,,,,,verkställande direktör,verkställande direktör,,verkställande direktör,,,,,,,Bankdirektör,Direktör,Direktör,Direktör,Direktör,Herr,,Herr,,,,,,1945,1983,32,False,Direktör | verkställande direktör | Herr | Bankdirektör
"Kantzow, Hans",,,,,,,,,,,,von,,,,,,,,,,,,,,,,,,,Bruksdisponent,Bruksdisponent,Bruksdisponent,,,,,,,,,,,1948,1978,23,False,von | Bruksdisponent
"Klingspor, Wilh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Member of the Board,1946,2015,18,False,Member of the Board | Styrelseledamot
"von Horn, Knut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overintendent,,Överintendent,Överintendent,,,,,,1951,1983,17,False,Överintendent | Overintendent
"Klingspor, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1967,15,False,
"Klingspor, Stig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friherre,Friherre,Friherre,Friherre,Friherre,Friherre,Friherre,,,,,,,1963,1982,14,False,Friherre
"Westerberg, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bruksdisponent, verkställande direktör","Bruksdisponent, verkställande direktör","Bruksdisponent, verkställande direktör","Bruksdisponent, verkställande direktör","Bruksdisponent, verkställande direktör","Bruksdisponent, verkställande direktör","Bruksdisponent, verkställande direktör","Bruksdisponent, verkställande direktör",,,,,,1964,1983,14,False,"Bruksdisponent, verkställande direktör"
"Eriksson, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1959,11,False,
"Klingspor, Carl-Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordförande,ordförande,ordförande,ordförande,ordförande,Greve,Greve,Greve,,,,,,1945,1983,10,False,Ordförande | ordförande | Greve
"Essen, C.-R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,1968,8,False,
"Landqvist, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Docent,Docent,Docent,Docent,Docent,Docent,Docent,Docent,,,,,,1976,1983,8,True,Docent
"Horn, Knut",,,,,,,,,,,,von,,,,,,,,,,,,,,,,,,,Överintendent,Överintendent,Överintendent,Överintendent,,Överintendent,,,,,,,,1957,1981,7,False,von | Överintendent
"Bergqvist, 
Åke",,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,,1970,1975,6,True,Direktör
"Crafoord, Holger",,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,,1970,1975,6,True,Direktör
"Ekevärn, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generaldirektör,Generaldirektor,Generaldirektör,Generaldirektör,Generaldirektör,Generaldirektör,,,,,,,,1976,1981,6,True,Generaldirektör | Generaldirektor
"Hellestam, Sigvard",,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,,1970,1975,6,True,Direktör
"Herslow, Ernst",,,,,,,,,,,,,,,,,,,,,,,,,Direktör,ordförande,ordf.,ordf.,ordf.,ordf.,,,,,,,,,,,,,,1970,1975,6,True,ordförande | Direktör | ordf.
"Klingspor, C.-G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,1969,6,False,
"Sundén, Ragnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,1976,1981,6,True,Direktör
"Ugglas, Margaretha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civilekonom,Civilekonom,Civilekonom,Civilekonom,Civilekonom,Civilekonom,,,,,,,1977,1982,6,True,Civilekonom
"Hellström, Mats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riksdagsledamot,Riksdagsledamot,Riksdagsledamot,Riksdagsledamot,Riksdagsledamot,,,,,,,,1977,1981,5,True,Riksdagsledamot
"Stén, Helmer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1949,5,True,
