Name,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1957,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,First Year,Last Year,Tenure,Consecutive,Positions
"WALLENBERG, MARC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tekn. doktor,Bankdirektör,,,ordförande,ordförande,ordförande,,,,1925,1974,46,False,ordförande | Tekn. doktor | Bankdirektör
"Holgersson, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. direktör.,,Verkst. direktör.,Verkst. direktör.,,"Verkst, direktör.",Verkst. direktör.,Verkst. direktör.,Verkst. direktör.,,,,Verkst. direktör.,Verkst. direktör.,Verkst. direktör,Verkst. direktör,Verkst. direktör,,"Disponent, verkst. dir.",Verkst. direktör,verkst. direktör,verkst. direktör,verkst. direktör,,,,,,1941,1975,31,False,"Verkst. direktör. | verkst. direktör | Verkst, direktör. | Disponent, verkst. dir. | Verkst. direktör"
"Carlsson, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,1953,26,True,
"HELLNER, JOH.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1945,21,True,
"Montgomery, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. direktör.,Verkst. direktör.,,,,,,,Hovrättsassessor,Hovrättsassessor,,,,,Lagman,,Lagman,Lagman,1960,1977,18,True,Verkst. direktör. | Lagman | Hovrättsassessor
"Söderberg, Ragnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordf.,v. ordförande,v. ordförande,v. ordförande,v. ordförande,v. ordförande,,,,,1954,1973,18,False,ordf. | v. ordförande
"Wallenberg, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,,ordförande,1927,1977,18,False,ordförande
"Gripenstedt, Johan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jägmästare,Jägmästare,,,,,Jägmästare,,Civiljägmästare,,1964,1976,13,True,Civiljägmästare | Jägmästare
"Mannerheim, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1923,13,True,
"Abenius, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1923,12,True,
"NILSSON, H. A. E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1939,11,False,
"Treschow, F. M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1923,10,False,
"EIDEM, INGMAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,"Tekn, doktor",,Teknologie Doktor,Teknologie Doktor,1969,1977,9,True,"Tekn, doktor | Direktör | Teknologie Doktor"
"Fineman, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1923,8,False,
"ENGMAN, GUNNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkst. direktör,"Disponent, verkst. direktör",Verkst. direktör,verst. direktör,Disponent,1973,1977,5,True,"Verkst. direktör | verkst. direktör | Disponent, verkst. direktör | verst. direktör | Disponent"
"SØDERBERG, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleant,,,,Generalkonsul,,Generalkonsul,Generalkonsul,1970,1977,5,False,Suppleant | Generalkonsul
"WALLENBERG, PETER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktor,,Direktör,Direktör,1973,1977,5,True,Direktor | Direktör
