Name,1908,1909,1910,1911,1912,1913,1914,1915,1916,First Year,Last Year,Tenure,Consecutive,Positions
"Lindblom, C. G.",,,,,,,,,,1912,1916,4,False,
"Berg, G",,,,,,,,,,1908,1910,3,True,
"Carlson, Sven",,,,,,,,,,1909,1912,3,False,
"Lagerwall, Ivar",,,,,,,,,,1908,1910,3,True,
"Östberg, G",,,,,,,,,,1908,1910,3,True,
"Cervin, Carl",,,,,,,,,,1913,1915,2,False,
"Lindberg, Sven",,,,,,,,,,1913,1915,2,False,
"Wallenberg, Ax",,,,,,,,,,1908,1909,2,True,
"Dalén, Gustaf",,,,,,,,,,1916,1916,1,True,
"Egnell, Einar",,,,,,,,,,1915,1915,1,True,
"Fischer, And.",,,,,,,,,,1909,1909,1,True,
"Lindman, Arvid",,,,,,,,,,1916,1916,1,True,
"Lindström, V.",,,,,,,,,,1915,1915,1,True,
"Lundberg, Konr.",,,,,,,,,,1912,1912,1,True,
"Vougt, C. F.",,,,,,,,,,1912,1912,1,True,
"Wallenberg, Axel",,,,,,,,,,1910,1910,1,True,
"Wallenberg, Victor",,,,,,,,,,1908,1908,1,True,
