Name,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1985,1986,1987,1988,1989,First Year,Last Year,Tenure,Consecutive,Positions
"Holst, J. Throne",,,,,,,,,,,,,H:SON-ERICSON,,,,,,,,,,,,,"Verkst
llande direkt
r",,"Verkst
aldirektör",,Verkställande direktör,Verkställande direktör,Verkställande direktör,,Verkställande direktör,Verkställande direktör,,Verkställande direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,Ledamot,,,,Ledamot,1940,1989,40,False,"Verkst
llande direkt
r | Ledamot | Verkställande direktör | H:SON-ERICSON | Direktör | Verkst
aldirektör"
"ANDERFELT, LARS",,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,Verkställande direktör,"Verkst
ällande direktör","Verkst
llande direkt
r",Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1970,24,True,"Verkst
llande direkt
r | Verkställande direktör | Verkst
ällande direktör"
"ENGFORS, G
OTE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1971,24,False,
"THRONE-HOLST, HARALD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Verkställande direktör,,,,,,,,,,,,,,,1950,1975,23,False,Direktör | Verkställande direktör
"H:SON-ERICSON, STIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riksmarskalk,,,,,,,,,,,,,,,,1952,1973,20,False,Riksmarskalk
"HJORT, JOHAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Høyesterettsadvokat,Høyesterettsadvokat,Höyesterettsadvokat,Høyesterettsadvokat,Høyesterettsadvokat,Høyesterettsadvokat,,,,Ledamot,,,,Ledamot,1971,1989,13,False,Höyesterettsadvokat | Høyesterettsadvokat | Ledamot
"Svensson, Stig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,Herr,Herr,Herr,Herr,,,Herr,,Ingenjör,,Personalrepresentant,,,,,1973,1985,11,False,Herr | Personalrepresentant | Ingenjör
"Mogren, Håkan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. direktör,Verkst direktör,Verkst direktör,,VD,,VD,,,Styrelseordförande,Styrelsens ordförande,1978,1989,9,False,Verkst direktör | Styrelseordförande | Styrelsens ordförande | Verkst. direktör | VD
"DANNFELT, C. JUHLIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,1950,8,False,
"Lundgren, Börje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,Herr,Herr,Herr,Herr,,,Herr,,,,,,,,,1973,1981,8,False,Herr
"BRATT, ULF-C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,Direktör,Direktör,Direktör,Direktör,,,,,,,,,,,1972,1978,7,True,Direktör
"Sandström, Svante",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,Herr,,Reparatör,,,,,,,1976,1983,7,False,Herr | Reparatör
"Belfrage, Leif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambassadör,Ambassadör,Ambassadör,Ambassadör,ordförande,Ordförande,,,,,,,1977,1982,6,True,Ordförande | ordförande | Ambassadör
"Dahlström, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,,Ledamot,,Styrelseordförande,,,,,1979,1985,6,False,Styrelseordförande | Direktör | Ledamot
"Mohler, Harold S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseordförande,Styrelseordförande,,Styrelseordförande,,Styrelseordförande,,,,,,,1977,1983,6,False,Styrelseordförande
"Osvald, Per Håkan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delägare,,Ledamot,,,,Ledamot,1981,1989,6,False,Ledamot | Delägare
"THRONE-HOLST, HENNING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ordförande, Direktör",,"Ordförande, Direktör",,,,,,,,,,,,,,1951,1975,6,False,"Ordförande, Direktör"
"ALMSTRÖM, HARALD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,1943,5,True,
"Cappelen, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD och administrativ direktör,,,suppleant,Suppleant,1981,1989,5,False,Suppleant | suppleant | WD och administrativ direktör
"LINDAHL, MAGNUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Høyesterettsadvokat,,,,,,,,,,,,,,,,1969,1973,5,True,Høyesterettsadvokat
"Pedersen, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1949,5,True,
"
KERMAN, ALF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,1967,4,True,
"Christner, Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advokat,Advokat,Advokat,Advokat,,,,,,,,,1977,1980,4,True,Advokat
"DANNFELT, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941,1949,4,False,
"Linder, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,Herr,,,,,,,,,1977,1981,4,False,Herr
"Nabseth, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,Ledamot,,,,Ledamot,1982,1989,4,False,Styrelseledamot | Ledamot
"Pulli, Yrjö",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,,,suppleant,Suppleant,1983,1989,4,False,Suppleant | suppleant
"Johansson, Agneta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,,,suppleant,Suppleant,1985,1989,3,False,Suppleant | suppleant
"Nyström, Sigvor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fru,,,,,,,,,,,,,Personalrepresentant,1975,1989,3,False,Fru | Personalrepresentant
"Zimmerman, Richard A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,,,suppleant,Suppleant,1985,1989,3,False,Suppleant | suppleant
"Augustson, Kurth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,1988,1989,2,True,Verkställande direktör
Ericson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riksmarskalk,Riksmarskalk,,,,,,,,,,,,,,1974,1975,2,True,Riksmarskalk
"Eriksson, Barbro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fabriksarbetare,,,,,,,1982,1983,2,True,Fabriksarbetare
H:SON-ERICSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,1970,2,False,
"HOLST, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,1944,2,False,
"Kjaer, Ingmar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,Personalrepresentant,1988,1989,2,True,suppleant | Personalrepresentant
"Lindh, Sune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,,,,,,,,,,,,,1975,1976,2,True,Direktör
"Ohlin, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professor,,Professor,,,,,,,,,,,,1975,1977,2,False,Professor
"Wallgren, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ledamot,1988,1989,2,True,Ledamot
"Wretlind, Arvid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professor,,,,,,,,,1980,1981,2,True,Professor
"Bexelius, Bo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auktoriserad revisor,,,,,,,,,,,,,,,1974,1974,1,True,Auktoriserad revisor
"Bonnier, Gerard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice-Chairman,,,,1986,1986,1,True,Vice-Chairman
"Bonnier, Tomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice-Chairman,,,,1986,1986,1,True,Vice-Chairman
Bratt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,1979,1979,1,True,Direktör
"ENGFORS, G
G
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1955,1,True,
"Eriksson, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
"Gentele, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auktoriserad revisor,,,,,,,,,,,,,,,1974,1974,1,True,Auktoriserad revisor
"HOLST, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,1944,1,True,
"Johnson, Bertil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,,,,,,,,,,,,1975,1975,1,True,Herr
"Kjos, Sigmund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleant,1989,1989,1,True,Suppleant
"Måberg, Olle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
"Nylander, Carry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
