Name,1986,1987,1988,1989,1990,1996,First Year,Last Year,Tenure,Consecutive,Positions
"Ando, Sigvard",,vice ordf,VICE ORDF,VICE ORDF,,,1986,1989,4,True,VICE ORDF | vice ordf
"Finskas, Bertel",,bankkamrer,bankkamrer,,,,1986,1989,4,True,bankkamrer
"Lindmark, Samme",,verkst dir,verkst direktör,,,,1986,1989,4,True,verkst dir | verkst direktör
"Lundh, Gunnar",,vVD,vVD,,,,1986,1989,4,True,vVD
"Matsson, Tomas",ordf,ordf,ORDF,ORDF,,,1986,1989,4,True,ordf | ORDF
"Olsson, Per",,verkst dir,verkst direktör,,,,1986,1989,4,True,verkst dir | verkst direktör
"Barnéus, Rune",,verkst dir,verkst direktör,,,,1987,1989,3,True,verkst dir | verkst direktör
"Carlsson, Mårten",,rektor,professor,,,,1987,1989,3,True,professor | rektor
"Ehn, Erik",,fd verkst dir,,,,,1986,1988,3,True,fd verkst dir
"Hård, Anita",,verkst dir,bankkamrer,,,,1986,1988,3,True,verkst dir | bankkamrer
"Sjöstrand, Wiking",,verkst dir LKAB,verkst direktör,,,,1987,1989,3,True,verkst dir LKAB | verkst direktör
"Thurdin, Görel",,riksdagsledamot,riksdagsledamot,,,,1987,1989,3,True,riksdagsledamot
"Marklund, Leif",,riksdagsledamot,,,,,1987,1989,2,False,riksdagsledamot
"Måberg, Olle",,,,,,,1987,1989,2,False,
"Wahlström, Björn",,,,,ordförande,,1986,1990,2,False,ordförande
"Dalborg, Hans",,,,,verkställande direktör och koncernchef,,1990,1990,1,True,verkställande direktör och koncernchef
"Ericsson, Donald",,,,,,,1986,1986,1,True,
"Feldt, Kjell-Olof",,,,,fd statsråd,,1990,1990,1,True,fd statsråd
"Hjärre, Leif",,,,,verkställande direktör,,1990,1990,1,True,verkställande direktör
"Hägglöf, Thore",vice ordf,,,,,,1986,1986,1,True,vice ordf
"Jansson, Rune",,,,,vice verkställande direktör,,1990,1990,1,True,vice verkställande direktör
"Jansson, Sture",,,,,,,1986,1986,1,True,
"Johansson-Hedberg, Birgitta",,,,,verkställande direktör,,1990,1990,1,True,verkställande direktör
"LODIN, Sven-Olof",,,,,,,1989,1989,1,True,
"Lövgren, Bertil",,,,,arbetstagarrepresentant,,1990,1990,1,True,arbetstagarrepresentant
"Magnusson, Bernt",,,,,verkställande direktör,,1990,1990,1,True,verkställande direktör
"Palmstierna, Jacob",,,,,vice ordförande,,1990,1990,1,True,vice ordförande
"Ragnarsson, Birgit",,,,,arbetstagarrepresentant,,1990,1990,1,True,arbetstagarrepresentant
"Renell, Gösta",,,,,direktör,,1990,1990,1,True,direktör
"Rosengren, Björn",,,,,TCO:s ordförande,,1990,1990,1,True,TCO:s ordförande
"Rydh, Olof",,,,,verkställande direktör,,1990,1990,1,True,verkställande direktör
"VRETMAN, Leif",,,,,,,1989,1989,1,True,
