Name,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,First Year,Last Year,Tenure,Consecutive,Positions
"Söderberg, Sven",,,,,,vice ordförande,vice ordförande,ordförande,vice ordförande,vice ordförande,1978,1986,9,True,ordförande | vice ordförande
"Wachtmeister, Trolle",,,,,,,,,Greve,,1978,1986,8,False,Greve
"Wallenberg, Peter",,,,,,,ordförande,,ordförande,ordförande,1977,1986,8,False,ordförande
"Wiberg, Herry",,,Utsedda av de anställda,,,Ombudsman,,,Ombudsman,,1979,1986,8,True,Ombudsman | Utsedda av de anställda
"Hellner, Jan",,,,,,,,,,,1977,1982,6,True,
"Persson, Rune",,,,,verkst. direktör,verkst. direktör,verkst. direktör,verkställande direktör,verkställande direktör,Verkst. direktör,1981,1986,6,True,verkst. direktör | verkställande direktör | Verkst. direktör
"Bäckberg, Leif",,,,,,Pappersarbetare,,,Pappersarbetare,,1982,1986,5,True,Pappersarbetare
"Rudengren, Sigge",verkst. direktör,vice ordförande,vice ordförande,,,,,,,,1977,1981,5,True,verkst. direktör | vice ordförande
"Åkerman, Alf",,,,,,,,,Bankdirektör,,1982,1986,5,True,Bankdirektör
"Harrison, Per",,,,,,,,,Bankdirektör,,1983,1986,4,True,Bankdirektör
"Lindquist, Rolf",,,Utsedda av de anställda,,,,,,,,1979,1981,3,True,Utsedda av de anställda
"Wallenberg, Marcus",ordförande,,,,ordförande,ordförande,,,,,1977,1982,3,False,ordförande
"Wijkström, Olle",,verkst. direktör,verkst. direktör,,,,,,,,1978,1980,3,True,verkst. direktör
"Hansson, Sture",,,,,,,,,,,1977,1978,2,True,
"Högberg, Torkel",,,,,,,,,Disponent,,1985,1986,2,True,Disponent
"Johansson, Gilbert",,,,,,,,,,,1977,1978,2,True,
Wachtmeister,Greve,,,,,,,,,,1977,1981,2,False,Greve
"Wallenberg, M",,,ordförande,,,,,,,,1979,1980,2,True,ordförande
Boheman,vice ordförande,,,,,,,,,,1977,1977,1,True,vice ordförande
"Gustavsson, Åke",,,,,,,,,,,1986,1986,1,True,
"Hallgren, Lennart",Ingenjör,,,,,,,,,,1977,1977,1,True,Ingenjör
"Theorin, Lars-Åke",,,,,,,,,,,1986,1986,1,True,
"Treschow, Gert",Godsägare,,,,,,,,,,1977,1977,1,True,Godsägare
"Wall, Björn",Lagerarbetare,,,,,,,,,,1977,1977,1,True,Lagerarbetare
