Name,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,First Year,Last Year,Tenure,Consecutive,Positions
"Wallenberg, J.",,,,,,,,,,,,,,Verkst. dir.,Verkst. dir.,,,,,,,,,,,,,,ordf.,ordförande,ordförande,ordförande,,,,,,,,,,,,,,Suppleanter,1946,1991,37,False,Verkst. dir. | ordf. | Suppleanter | ordförande
"Douglas, G. A.",,Verkst. dir.,Verkst. dir.,,,,,Verkst. dir.,,Verkst. dir.,,Verkst. dir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1976,23,False,Verkst. dir.
"Anér, Josef",,,,,,,,,,,,,,,,,,,,,,,Verkst. dir.,,,,,,,,,,,,,,,,,,,,,,,,1946,1970,22,False,Verkst. dir.
"Wallenberg, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordf.,vice ordförande,vice ordförande,ordförande,,,ordförande,ordförande,ordförande,Ordförande,ordförande,ordförande,ordförande,1969,1991,21,False,ordförande | ordf. | Ordförande | vice ordförande
"Rodling, Ejnar",,,,,,,Verkst. dir.,,Verkst. dir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1964,17,False,Verkst. dir.
"Wallenberg, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,ordförande,,ordförande,ordförande,,,,,,,,,,Suppleanter,1972,1991,12,False,ordförande | Suppleanter | vice ordförande
"Nicolin, Curt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,1990,11,False,
"Werthén, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,1989,11,False,
"Lundberg, Per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,Verkställande direktör,,verkställande direktör,,verkställande direktör,verkställande direktör,Verkställande direktör,Verkställande direktör,verkställande direktör,verkställande direktör,Verkställande direktör,1979,1991,10,False,verkställande direktör | Verkställande direktör
"Hallström, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,förordnad av Kungl. Maj:t,förordnad av Kungl. Majst,förordnad av Kungl. Majst,förordnad av Kungl. Maj:t,,förordnad av Regeringen,,,,,,,,,,,,1974,1982,9,True,förordnad av Kungl. Majst | förordnad av Regeringen | förordnad av Kungl. Maj:t
