Name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,First Year,Last Year,Tenure,Consecutive,Positions
"Virgin, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kapten, Mariedal, Lundsbrunn, vice ordförande",,,"kapten, Mariedal, Lundsbrunn, vice ordförande",vice ordförande,,"kapten, Mariedal, Lundsbrunn, ordförande",,,,ordförande,ordförande,,ordförande,"vice talman, Mariedal, Lundsbrunn, ordförande",ordförande,ordförande,Ordförande,vice talman,Ordförande,,f.d. vice talman,,,civilekonom,riksdagsman,riksdagsman,,,,,riksdagsman,,1942,1988,34,False,"vice talman | kapten, Mariedal, Lundsbrunn, vice ordförande | civilekonom | vice ordförande | vice talman, Mariedal, Lundsbrunn, ordförande | riksdagsman | Ordförande | ordförande | kapten, Mariedal, Lundsbrunn, ordförande | f.d. vice talman"
"Henström, N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektörerna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,1948,31,True,Bankdirektörerna
"Bergqvist, Tor",,,,,,,,,,,,,,,,,,,,,,,,,,,,Bankdirektörerna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bankdirektör, Skövde",bankdirektör,"bankdirektör, Skövde",,bankdirektör,bankdirektör,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,1962,28,False,"bankdirektör | bankdirektör, Skövde | Bankdirektörerna"
"Blomdahl, F.",,,,,,,,,,,,,,,,,,Verkst. direktör.,,,,,,,,,,Bankdirektörerna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1939,27,False,Verkst. direktör. | Bankdirektörerna
"Hedenstierna, E",,,,,,Borgmästare,,,Borgmästaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1929,23,False,Borgmästaren | Borgmästare
Bergqvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.,,,,,,,,,,"bankdirektör, Skövde, verkställande direktör",,,,"bankdirektör, Skövde",,,,,,,,,,,,,,,direktör,direktör,,direktör,"direktör, Stockholm Ordförande",Ordförande,Ordförande,Ordförande,,,,,,,,1928,1982,20,False,"bankdirektör, Skövde, verkställande direktör | T. | direktör, Stockholm Ordförande | direktör | bankdirektör, Skövde | Ordförande"
"Brodén, J",,,,,,Bankdirektör,,,Bankdirektören,,,,,,,,,,,,,,,,,,,Bankdirektörerna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1929,20,False,Bankdirektören | Bankdirektörerna | Bankdirektör
"Karlsson, Gösta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bankdirektör, verkst. direktör",,"bankdirektör, verkställande direktör","bankdirektör, verkställande direktör",,"bankdirektör, Skövde, verkställande direktör",bankdirektör,bankdirektör,Verkst. direktör,bankdirektör,Verkst. direktör,,verkst. direktör,"bankdirektör, Skövde Verkst. direktör",Verkst. direktör,verkst. direktör,Verkst direktör,Verkst direktör,Verkst direktör,,,,,,1966,1987,20,False,"bankdirektör, Skövde, verkställande direktör | verkst. direktör | Verkst direktör | bankdirektör | bankdirektör, verkst. direktör | bankdirektör, verkställande direktör | Verkst. direktör | bankdirektör, Skövde Verkst. direktör"
Nilson-Dag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"disponent, Lidköping","disponent, Lidköping",disponent,,"disponent, Lidköping",disponent,,"disponent, Lidköping",,disponent,disponent,disponent,disponent,disponent,disponent,"disponent, Lidköping",disponent,disponent,,,,,,,Vice ordförande,,,,,,,,,,1953,1980,20,False,"disponent | disponent, Lidköping | Vice ordförande"
"Högberg, Carl",,,,,,,,,,,,,,,,,,,,Grosshandlaren,,Tor Bergqvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906,1925,19,False,Grosshandlaren | Tor Bergqvist
"Nyström, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"direktör, Mariestad",direktör,direktör,,direktör,direktör,,direktör,"direktör, Mariestad Förordnad av Regeringen",,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Ordförande,Ordförande,,1971,1988,18,True,"direktör, Mariestad Förordnad av Regeringen | direktör | Vice ordförande | direktör, Mariestad | Ordförande"
"Schuberth, J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922,1940,18,False,
"Ahlberg, S.",,,,,Öfverstelöjtnanten,,,,Öfverstelöjtnanten,,,,,,,,"""
",,,Öfverstelöjtnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,1924,17,False,"Öfverstelöjtnant | Öfverstelöjtnanten | ""
"
"Jansson, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"riksdagsman, Moholm",riksdagsman,riksdagsman,,riksdagsman,riksdagsman,,riksdagsman,"riksdagsman, Moholm Förordnad av Regeringen",,riksdagsman,riksdagsman,riksdagsman,,,,,f d riksdagsman,,1971,1988,17,False,"riksdagsman, Moholm | riksdagsman | f d riksdagsman | riksdagsman, Moholm Förordnad av Regeringen"
"Rapp, Anders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,,direktör,direktör,,direktör,"direktör, Skövde",,direktör,verkst direktör,verkst direktör,verkst direktör,,,,verkst. direktör,,1972,1988,17,True,"verkst. direktör | direktör, Skövde | verkst direktör | direktör"
"Hofsten, E. von",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"landstingsdirektör, Mariestad","landstingsdirektör, Mariestad",landstingsdirektör,,,,,"landstingsdirektör, Mariestad, vice ordförande",vice ordförande,"godsägare, vice ordförande",vice ordförande,vice ordförande,,vice ordförande,,,,,,,,,,,,,,,,,,,,,1924,1969,16,False,"landstingsdirektör | landstingsdirektör, Mariestad | vice ordförande | godsägare, vice ordförande | landstingsdirektör, Mariestad, vice ordförande"
"Egnell, Th.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,1929,15,False,
