Name,1876,1888,1891,1892,1894,1895,1897,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,First Year,Last Year,Tenure,Consecutive,Positions
"Berggren, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876,1945,47,False,
"VELANDER, GUSTAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,ordförande,"rådman, Sundsvall, ordförande",rådman,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922,1953,31,False,"ordförande | rådman | rådman, Sundsvall, ordförande"
"Mörch, Yngve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disponent,disponent,"disponent, Sundsvall",disponent,disponent,disponent,,disponent,vice ordförande,disponent,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,ordförande,"disponent, Sundsvall, ordförande",ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,1948,1975,26,False,"disponent | disponent, Sundsvall | vice ordförande | ordförande | disponent, Sundsvall, ordförande"
"WALLMARK, I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,1948,26,False,
"Rogberg, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assuransdirektör,assuransdirektör,"assuransdirektör, Stockholm",assuransdirektör,assuransdirektör,assuransdirektör,assuransdirektör,assuransdirektör,assuransdirektör,,,assuransdirektör,assuransdirektör,assuransdirektör,assuransdirektör,assuransdirektör,civilingenjör,vice ordförande,"civilingenjör, Stockholm, vice ordförande",vice ordförande,,,,,,,,,,,,,,,,,1943,1968,25,False,"assuransdirektör | vice ordförande | civilingenjör | civilingenjör, Stockholm, vice ordförande | assuransdirektör, Stockholm"
"WIKSTRÖM, Ando",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,1936,25,False,
"SANDOVIST, ARTH.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907,1936,24,False,
"Agerberg, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,vice ordförande,vice ordförande,"direktör, vice ordförande",vice ordförande,vice ordförande,vice ordförande,Deputy Chairman,,,,,1957,1981,23,False,"Deputy Chairman | direktör, vice ordförande | direktör | vice ordförande"
"Hedlund, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jur, dr","jur. dr, Rådom",jur. dr,jur. dr,jur. dr,,,jur. dr,jur. dr,,jur. dr,jur. dr,jur. dr,jur. dr,jur. dr,jur. dr,"jur, dr",jur. dr,direktör,jur. dr.,jur. dr.,,,,,,,,,,,,,,,1946,1970,23,False,"jur. dr. | jur. dr, Rådom | direktör | jur. dr | jur, dr"
"PEYRON, ALFRED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1938,23,False,
"MÖRCH, SÖREN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1936,22,False,
ZIELFELT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1933,22,False,
"Salén, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,1936,20,False,
