Name,1912,1913,1914,1915,1917,1918,1919,1920,First Year,Last Year,Tenure,Consecutive,Positions
"Egnell, Emil",,,,,,,,,1912,1917,4,False,
"Flodin, Seth",,,,,,,,,1912,1917,4,False,
"Juhlin, Julius",,,,,,,,,1912,1917,4,False,
"Meeths, Herm.",,,,,,,,,1912,1917,4,False,
"Ölander, Erik",,,,,,,,,1912,1917,4,False,
"ANDERSSON, Aron",,,,,,,J:or,,1918,1920,3,True,J:or
"Berthold, Adolf F.",,,,,,,,,1912,1917,3,False,
"LINDMAN, Arvid",,,,,,,,,1918,1920,3,True,
Otterström,,,,,,,,,1912,1917,3,False,
Palmgren,,,,,,,,,1912,1917,3,False,
"WAHLBERG, Axel",,,,,,,,,1918,1920,3,True,
"BELFRAGE, F.",,,,,,,,,1919,1920,2,True,
"DALÉN, Gustaf",,,,,,,,,1918,1919,2,True,
"HEIDENSTAM, CARL",,,,,,,,,1919,1920,2,True,
"Otterström, A.",,,,,,,,,1913,1915,2,False,
"Palmgren, H.",,,,,,,,,1913,1915,2,False,
"SVANSTRÖM, Ernst",,,,,,,,,1918,1919,2,True,
"THUNBERG, Emric",,,,,,,,,1918,1920,2,False,
"BERNSTRÖM, R.",,,,,,,,,1918,1918,1,True,
Berthold,,,,,,,,,1914,1914,1,True,
"Berthold, Adolf",,,,,,,,,1913,1913,1,True,
"Egnell, Emil",,,,,,,,,1913,1913,1,True,
"Flodin, Seth",,,,,,,,,1913,1913,1,True,
"HANSELL, N.",,,,,,,,,1918,1918,1,True,
"Juhlin, Julius",,,,,,,,,1913,1913,1,True,
"LENNMALM, RUBEN",,,,,,,,,1920,1920,1,True,
"Meeths, Herm.",,,,,,,,,1913,1913,1,True,
"NORDVALL, A.",,,,,,,,,1919,1919,1,True,
"SCHÖNMEYR, G.",,,,,,,,,1919,1919,1,True,
"Ölander, Erik",,,,,,,,,1913,1913,1,True,
