Name,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1995,First Year,Last Year,Tenure,Consecutive,Positions
"Herslow, Ernst",,,,Direktör,,,,,,,,"Verkst direktör, AB Cardo",Verkst direktör,Verkst direktör,,Verkst direktör,"Verkst direktör, AB Cardo",Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,vice ordförande,vice ordförande,Ordförande,Ordförande,ordförande,,1965,1987,23,True,"ordförande | Verkst direktör, AB Cardo | Verkst direktör | vice ordförande | Vice ordförande | Ordförande | Direktör"
"Ståhlbrandt, Åke",,verkställande direktör,verkställande direktör,Verkställande direktör,verkställande direktör,verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,verkställande direktör,verkställande direktör,"Verkst direktör, Trelleborgs Gummifabriks AB",Verkst direktör,Verkst direktör,Styrelsens ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,ordförande,ordförande,,,,,1962,1984,23,True,"verkställande direktör | Verkställande direktör | Verkst direktör | Styrelsens ordförande | Ordförande | ordförande | Verkst direktör, Trelleborgs Gummifabriks AB"
Cavalli-Björkman,,,,,,,,,,,,Verkst direktör Skandinaviska Enskilda Banken,Verkst direktör,Verkst direktör,,Verkst direktör,"Verkst direktör, Skandinaviska Enskilda Banken",Verkst direktör,Verkst direktör,Verkst direktör,,,,Bankdirektör,,,,1970,1995,19,False,"Verkst direktör, Skandinaviska Enskilda Banken | Verkst direktör Skandinaviska Enskilda Banken | Verkst direktör | Bankdirektör"
"Belfrage, Arne",,,,Bankdirektör,,,,,,,,Bankdirektör,Bankdirektör,Bankdirektör,,Fd bankdirektör,Fd bankdirektör,F d bankdirektör,,,,,,,,,,1965,1979,15,True,F d bankdirektör | Fd bankdirektör | Bankdirektör
"Olsson, Otto",,,,,,,,,,,,"Verkst direktör, AB P Olsson & Co",Verkst direktör,Verkst direktör,,Verkst direktör,"Verkst direktör, AB P Olsson & Co",Verkst direktör,Direktör,Direktör,,,,,,,,1967,1982,15,False,"Direktör | Verkst direktör, AB P Olsson & Co | Verkst direktör"
"Bertilsson, Bertil",,,,,,,,,,,,,,,,Verkst direktör,"Verkst direktör, AB Hevea",Verkst direktör,Verkst direktör,Verkst direktör,,,,Vice ordförande,vice ordförande,vice ordförande,Vice ordförande,1976,1995,13,False,"Verkst direktör, AB Hevea | Vice ordförande | Verkst direktör | vice ordförande"
"Herrlin, Karl-Magnus",,,Doktor,,,,,,,,vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,,Vice ordförande,Vice ordförande,Leg läkare,Leg läkare,Leg läkare,,,,,,,,1963,1982,12,False,Vice ordförande | Leg läkare | Doktor | vice ordförande
"Odhnoff, Jan",,,,,,,,,,,,,,,,Utredningschef,"Utredningschef, Svenska Fabriksarbetareförbundet",Redaktör,Redaktör,Forskningsledare,,,,Direktör,,,,1977,1987,10,False,"Utredningschef | Utredningschef, Svenska Fabriksarbetareförbundet | Forskningsledare | Direktör | Redaktör"
"Gorthon, Stig",,,,,,,,,,,,"Skeppsredare, verkst direktör, Rederi AB Gylfe","Skeppsredare, verkst direktör",Skeppsredare,,,,,,,,,,,,,,1967,1975,9,True,"Skeppsredare, verkst direktör, Rederi AB Gylfe | Skeppsredare, verkst direktör | Skeppsredare"
"Nedström, Tore",,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,ordförande,vice ordförande,,vice ordförande,,,,,,,,,,,,,,,,,,1962,1971,9,False,ordförande | vice ordförande
"Ekblom, Ingemar",,,,Konsul,,,,,,,,,,,,,,,,,,,,,,,,1965,1972,8,True,Konsul
"Nilsson, Arne",,,,,,,,,,,,,,,,,,,,Tjänsteman,,,,Tjänsteman,,,,1981,1995,8,False,Tjänsteman
"Hallström, Hadar",,,ordförande,ordförande,ordförande,ordförande,,ordförande,,,,,,,,,,,,,,,,,,,,1962,1969,7,False,ordförande
"Lundqvist, Arne",,,,,,,,,,,,,,,Verkställande direktör,Verkst direktör,"Verkst direktör, Trelleborg AB",Verkst direktör,Verkst direktör,Verkst direktör,Verkställande direktör,,,,,,,1976,1982,7,True,"Verkst direktör, Trelleborg AB | Verkställande direktör | Verkst direktör"
"Mörck, Einar",,,Direktör,,,,,,,,,,,,,Fd v verkst direktör,"Fd v verkst direktör, Trelleborg AB",,F d v verkst direktör,F d v verkst direktör,,,,,,,,1963,1981,7,False,"Direktör | Fd v verkst direktör, Trelleborg AB | F d v verkst direktör | Fd v verkst direktör"
"Andersson, Rune",,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,Verkställande Direktör,Verkställande direktör,Verkställande direktör,Ordförande,1983,1995,6,False,Ordförande | Verkställande Direktör | Verkställande direktör
"Karlsson, Börje",,,,,,,,,,,,,,,,,,,,,,,,Fabrikör,,,,1982,1987,6,True,Fabrikör
"Johansson, Einar",,,,,,,,,,,,Gummiarbetare,Gummiarbetare,Gummiarbetare,,Gummiarbetare,Gummiarbetare,,,,,,,,,,,1973,1978,5,False,Gummiarbetare
"Olsson, Kurt",,,,,,,,,,,,,,,,,,Gummiarbetare,Gummiarbetare,Gummiarbetare,,,,,,,,1979,1983,5,True,Gummiarbetare
Oscar Harvidsson,,,,,,,,,,,,,,,,Produktchef,Produktchef,Produktchef,Produktchef,,,,,,,,,1976,1980,5,True,Produktchef
