Name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,First Year,Last Year,Tenure,Consecutive,Positions
"Sterner, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordf.,"generalkonsul, Uppsala, ordf.","generalkonsul, Uppsala, ordf.","generalkonsul, ordf.","generalkonsul, ordf.","generalkonsul, ordf.",ordf.,ordf.,"generalkonsul, Uppsala, ordf.","generalkonsul, Uppsala, ordf.","generalkonsul, ordf.",ordf.,,,,,,,,,,,,,,,,,1932,1969,38,True,"ordf. | generalkonsul, ordf. | generalkonsul, Uppsala, ordf."
"Hæggström, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v. ordf.,"direktör, Uppsala, v. ordf.","direktör, Uppsala, v. ordf.","direktör, v. ordf.","direktör, v. ordf.","direktör, v. ordf.",v. ordf.,v. ordf.,"direktör, Uppsala, v. ordf.","direktör, Uppsala, v. ordf.","direktör, v. ordf.",v. ordf.,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,chairman,,,1946,1983,37,False,"direktör, Uppsala, v. ordf. | chairman | v. ordf. | direktör, v. ordf. | ordförande"
"Reuterskiöld, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkst. direktör,"bankdirektör, Uppsala, verkst. direktör","bankdirektör, Uppsala, verkst. direktör","bankdirektör, verkst. direktör","bankdirektör, verkst. direktör","bankdirektör, verkst. direktör","verkst, direktör","bankdirektör, verkst, direktör","bankdirektör, Uppsala, verkst. direktör","bankdirektör, Uppsala, verkst. direktör","bankdirektör, verkst. direktör",verkst. direktör,verkst. direktör,verkst. direktör,verkst. direktör,v. ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,,,,,,,1951,1977,27,True,"verkst. direktör | vice ordförande | verkst, direktör | bankdirektör, verkst, direktör | bankdirektör, Uppsala, verkst. direktör | bankdirektör, verkst. direktör | v. ordförande"
"Gardtman, Hjalm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1929,22,False,
"Olsson, Gottfrid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"direktör, Uppsala","direktör, Uppsala",direktör,direktör,direktör,,direktör,"direktör, Uppsala","direktör, Uppsala",direktör,,direktör,,,,,,,,,,,,,,,,1951,1970,20,True,"direktör | direktör, Uppsala"
"Strandberg, Anders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,1929,19,False,
"Ameln, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1931,18,False,
"Segerstedt, Torgny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,professor,professor,professor,,professor,"professor, Uppsala","professor, Uppsala",professor,,professor,,,,"professor, Rector Magnificus",,,,,,,,,,,,1961,1978,18,True,"professor, Rector Magnificus | professor | professor, Uppsala"
"Göth, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"civilingeniör, Uppsala","civilingeniör, Uppsala",civilingeniör,civilingeniör,civilingeniör,,civilingeniör,"civilingeniör, Uppsala","civilingeniör, Uppsala",civilingeniör,,,,,,f d verkst direktör,,,,,,,,,,,,1956,1974,17,False,"civilingeniör | f d verkst direktör | civilingeniör, Uppsala"
"Bagge, Erland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bankdirektör,,,"bankdirektör, Stockholm","bankdirektör, Stockholm",bankdirektör,,,,,,bankdirektör,,bankdirektör,,,,bankdirektör,,,,,,1963,1983,16,False,"bankdirektör | bankdirektör, Stockholm"
"Ericsson, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932,1947,16,True,
"Bahr, Johan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909,1927,15,False,
"Hedin, Karl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,1955,15,False,
"Lovén, Henrik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lantmästare,,,,,,lantmästare,,,,,,lantmästare,,,,,,1968,1985,14,False,lantmästare
"Stiernstedt, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"friherre, riksdagsman","friherre, riksdagsman","friherre, riksdagsman",,"friherre, landstingsråd","friherre, landstingsråd, Knivsta","friherre, landstingsråd, Knivsta","friherre, landstingsråd",,landstingsråd,,,,"friherre, f d landstingsråd",,,,,,,,,,,,1961,1974,14,True,"friherre, f d landstingsråd | landstingsråd | friherre, landstingsråd, Knivsta | friherre, riksdagsman | friherre, landstingsråd"
"Åström, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1929,14,False,
"Ericson, Axel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,1931,13,False,
"Lundh, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör,"bankdirektör, verkst direktör",,bankdirektör,"bankdirektör, verkst direktör",verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,,1973,1985,13,True,"bankdirektör | bankdirektör, verkst direktör | verkställande direktör"
"Palmquist, Gust.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917,1931,13,False,
"Strandberg, Svante",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931,1944,13,False,
"Virding, Gösta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkst direktör,,,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,1971,1983,13,True,verkst direktör | vice ordförande
